Rule,Support,StandardConfidence,PCAConfidence,HeadCoverage,BodySize,PCABodySize,variable,rule_length,filtered,InSample,rule_type,left_concat_count,right_concat_count,explanation1_s,explanation2_y,perplexity1_s,perplexity2_y,id,instance
?a /education/educational_institution_campus/educational_institution ?f ?b /education/educational_institution_campus/educational_institution ?f => ?a /education/educational_institution_campus/educational_institution ?b,1,1,1,526,526,526,?a,10,1,0,3,0,0,"The explanation for this rule is: If two educational institutions share the same campus, then they are directly connected to each other without needing to go through the campus entity.","The explanation for this rule is: When two educational institutions located on the same campus share a common educational institution, then these two educational institutions are connected directly.",29.28569031,29.90838814,10,
?a /education/educational_institution/campuses ?f ?b /education/educational_institution_campus/educational_institution ?f => ?a /education/educational_institution_campus/educational_institution ?b,0.807984791,1,1,425,425,425,?a,10,1,0,3,0,0,"The explanation for this rule is: If an educational institution (a) has campuses (f) and a campus (b) belongs to the same educational institution as the campuses, then the educational institution (a) is related to the educational institution (b) through their shared campus.","The explanation for this rule is: When an educational institution ""a"" has campuses linked to a specific educational institution campus ""f"", and this educational institution campus ""f"" is associated with an educational institution ""b"", then the educational institution ""a"" is linked to the educational institution ""b"" through the educational institution campus ""f"".",17.7181015,15.93247032,11,
?a /education/educational_institution/campuses ?f ?b /education/educational_institution/campuses ?f => ?a /education/educational_institution/campuses ?b,1,1,1,533,533,533,?a,10,1,0,3,0,0,"The explanation for this rule is: If two educational institutions (entities ?a and ?b) share a common campus (entity ?f), then there exists a direct connection between the two institutions where they are considered to have a campus in common.","The explanation for this rule is: When educational institution ""a"" has campuses ""f"" and another educational institution ""b"" also has campuses ""f"", then both institutions ""a"" and ""b"" have a common campus.",32.90016174,20.68785286,12,
?a /education/educational_institution_campus/educational_institution ?f ?b /education/educational_institution_campus/educational_institution ?f => ?a /education/educational_institution/campuses ?b,0.797373358,0.807984791,1,425,526,425,?a,10,1,0,3,0,0,"The explanation for this rule is: If entity 'a' is related to entity 'f' as an educational institution campus, and entity 'b' is related to entity 'f' as the same educational institution, then entity 'a' is related to entity 'b' as campuses of educational institution.","The explanation for this rule is: When an entity ""a"" is related to an educational institution campus ""f"" and another entity ""b"" is also related to the same educational institution campus ""f"", then entity ""a"" is related to entity ""b"" through the property ""campuses"".",12.53421021,18.06627274,13,
?a /education/educational_institution/campuses ?f ?b /education/educational_institution_campus/educational_institution ?f => ?a /education/educational_institution/campuses ?b,0.797373358,1,1,425,425,425,?a,10,1,0,3,0,0,"The explanation for this rule is: 
If educational institution a has campuses f, and there exists a relationship where f is the educational institution b on the same campus, then educational institution a also has campuses that include educational institution b.","The explanation for this rule is: When an educational institution ""a"" has campuses that are associated with an educational institution campus ""f"", and the educational institution campus ""f"" is related to an educational institution ""b"", then the educational institution ""a"" also has campuses that are associated with the educational institution ""b"".",59.61594391,12.99998093,14,
?a /location/hud_county_place/place ?f ?b /location/hud_county_place/place ?f => ?a /location/hud_county_place/place ?b,1,1,1,459,459,459,?a,10,1,0,3,0,0,"The explanation for this rule is: If two entities, a and b, are connected to the same place entity f under the relationship /location/hud_county_place/place, then entity a is also connected to entity b under the same relationship.","The explanation for this rule is: When an entity ""a"" is located in a specific county place ""f"" and another entity ""b"" is also located in the same county place ""f"", then entity ""a"" is also located in the same county place as entity ""b"".",47.93952179,11.89855385,15,
?a /film/film/featured_film_locations ?f ?b /location/hud_county_place/place ?f => ?a /film/film/featured_film_locations ?b,0.2814739,1,1,275,275,275,?a,10,1,1,3,0,0,"The explanation for this rule is: If two films share a featured film location, and that location is a county place, then these two films indirectly share that county place as a featured film location as well.","The explanation for this rule is: When a film features certain film locations in a specific county, then those featured film locations are considered to be featured in that county.",40.7960701,44.56643677,16,
?a /location/hud_county_place/county ?f ?b /location/hud_county_place/place ?f => ?a /location/hud_county_place/county ?b,0.042622951,1,1,13,13,13,?a,10,1,0,3,0,0,"The explanation for this rule is: If entity ?a is a county in a specific county-place relationship with another entity ?f, and entity ?b is a place in the same county-place relationship with the same entity ?f, then entity ?a is in the same county-place relationship with entity ?b.","The explanation for this rule is: When an entity has a relationship with a county in a certain place, and the same entity has a relationship with a place in that same location, then the entity is associated with the county in that location.",12.36959076,14.39437103,17,
?f /location/us_county/county_seat ?a ?b /location/us_county/county_seat ?f => ?a /location/us_county/county_seat ?b,0.110497238,0.952380952,0.952380952,20,21,21,?a,10,1,0,4,0,0,"The explanation for this rule is: If entity f is the county seat of county a, and entity b is also the county seat of county f in the US, then entity a is the county seat of entity b in the US as well.","The explanation for this rule is: When a location in a U.S. county is the county seat of another location in the same U.S. county, then the first location is also the county seat of the second location within that county.",16.4004097,11.52181244,18,
?f /award/award_category/category_of ?a ?b /award/award_category/category_of ?f => ?a /award/award_category/category_of ?b,0.114864865,1,1,17,17,17,?a,10,1,0,4,0,0,"The explanation for this rule is: When entity ?a is the category of entity ?f under the relationship '/award/award_category', and entity ?b is the category of entity ?f under the same relationship, then entity ?a is also the category of entity ?b under the '/award/award_category' relationship.","The explanation for this rule is: When an entity ""f"" is the category of award category ""a"" and entity ""b"" is also in the same category as entity ""f"", then entity ""a"" is also in the same category as entity ""b"".",14.81005478,16.39398956,19,
?f /education/educational_institution/campuses ?a ?b /education/educational_institution/campuses ?f => ?a /education/educational_institution_campus/educational_institution ?b,0.807984791,0.797373358,1,425,533,425,?a,10,1,0,4,0,0,"The explanation for this rule is: If two educational institutions, f and a, have common campuses and one of them, a, has a specific campus which belongs to educational institution b, then the other educational institution, f, is also connected to educational institution b through their shared campuses.","The explanation for this rule is: When an educational institution ""f"" has campuses ""a"" and ""b"", and another educational institution ""f"" also has campuses ""b"", then ""a"" and ""b"" are considered as different campuses of the same educational institution ""f"".",23.08959007,16.43456078,20,
?f /education/educational_institution_campus/educational_institution ?a ?b /education/educational_institution_campus/educational_institution ?f => ?a /education/educational_institution_campus/educational_institution ?b,1,1,1,526,526,526,?a,10,1,0,4,0,0,"The explanation for this rule is: If two educational institutions, connected through an educational institution campus, have a common campus, then they are directly connected through the educational institution campus relationship.","The explanation for this rule is: When an educational institution campus ""f"" is associated with an educational institution ""a"" and both are also linked to the same educational institution campus ""b"", then the educational institution ""a"" is directly connected to the educational institution ""b"" through the educational institution campus relationship.",29.66370583,18.38515091,21,
?f /education/educational_institution/campuses ?a ?b /education/educational_institution/campuses ?f => ?a /education/educational_institution/campuses ?b,1,1,1,533,533,533,?a,10,1,0,4,0,0,"The explanation for this rule is: If educational institution f has campuses a and b, and institution b has campuses also, then institution a has campus b as well.","The explanation for this rule is: When an educational institution ""f"" has campuses ""a"" and an educational institution ""b"" also has campuses ""f"", then the educational institution ""a"" has campuses ""b"".",59.50628662,18.99287033,22,
?f /education/educational_institution_campus/educational_institution ?a ?b /education/educational_institution_campus/educational_institution ?f => ?a /education/educational_institution/campuses ?b,0.797373358,0.807984791,1,425,526,425,?a,10,1,0,4,0,0,"The explanation for this rule is: If an educational institution campus (f) is connected to an educational institution (a) and another educational institution campus (b) is also connected to the same educational institution (a), then the two campuses (f and b) are considered as campuses of that educational institution (a).","The explanation for this rule is: When an educational institution campus ""f"" is related to an educational institution ""a"" and another educational institution campus ""b"" is related to the same educational institution ""f"", then the educational institution ""a"" has a relation to the educational institution ""b"" through the property 'campuses'.",12.95192909,19.17466545,23,
?f /location/hud_county_place/place ?a ?b /location/hud_county_place/place ?f => ?a /location/hud_county_place/place ?b,1,1,1,459,459,459,?a,10,1,1,4,0,0,"The explanation for this rule is: 
If place 'a' is located in the same county as place 'f' and place 'f' is also located in the same county as place 'b', then place 'a' is considered to be located in the same county as place 'b' in the graph.","The explanation for this rule is: When a place ""f"" is in the same county as place ""a"", and place ""b"" is also in the same county as place ""f"", then it can be inferred that place ""a"" is in the same county as place ""b"".",10.03434849,9.036244392,24,
?f /location/hud_county_place/county ?a ?b /location/hud_county_place/county ?f => ?a /location/hud_county_place/county ?b,0.059016393,1,1,18,18,18,?a,10,1,0,4,0,0,"The explanation for this rule is: If entity ?a is located in a county identified by entity ?f, and entity ?b is also located in the same county as entity ?f, then entity ?a and entity ?b are in the same county.","The explanation for this rule is: If entity ?a is in the same county as entity ?f, and entity ?f is in the same county as entity ?b, then entity ?a is also in the same county as entity ?b.",11.63972569,8.45715332,25,
?e /location/hud_county_place/county ?a ?e /location/us_county/county_seat ?b => ?a /location/us_county/county_seat ?b,0.060773481,1,1,11,11,11,?a,10,1,0,5,0,0,"The explanation for this rule is: If an entity is a county place in a certain county and the same entity is the county seat of that county, then the county is uniquely associated with that county seat.","The explanation for this rule is: When a place in a county ""e"" is the county seat of that county ""a"", then the county ""a"" has the same county seat ""b"".",21.37782288,25.11335182,26,
?e /location/hud_county_place/place ?a ?e /location/us_county/county_seat ?b => ?a /location/us_county/county_seat ?b,0.060773481,1,1,11,11,11,?a,10,1,0,5,0,0,"The explanation for this rule is: If a place is the seat of a county within a specific U.S. county and that same place is located within a certain county, then the county is also the seat of the same U.S. county.","The explanation for this rule is: When a place in a county is the county seat, then the county that the place belongs to also has its county seat at that place.",12.76976204,24.2503376,27,
?e /location/hud_county_place/place ?a ?e /sports/sports_team_location/teams ?b => ?a /sports/sports_team_location/teams ?b,0.253776435,1,1,84,84,84,?b,10,1,1,5,0,0,"The explanation for this rule is: If a place in a specific county has a sports team, then that sports team is associated with the same place in that county.","The explanation for this rule is: When a place ""e"" is related to a sports team ""b"" in terms of location in a specific county, then the same sports team ""b"" is associated with the place in that county.",20.46846008,24.40510941,28,
?e /award/award_category/category_of ?a ?e /award/award_category/category_of ?b => ?a /award/award_category/category_of ?b,0.114864865,0.85,1,17,20,17,?a,10,1,0,5,0,0,"The explanation for this rule is: If entity A is in the same award category as entity E, and entity B is also in the same award category as entity E, then entities A and B are in the same award category as each other.","The explanation for this rule is: If entity ""a"" belongs to a certain award category which is the category of entity ""e"", and entity ""b"" also belongs to the same award category as entity ""e"", then entity ""a"" is in the same category as entity ""b"".",7.952552795,10.56680489,29,
?e /education/educational_institution_campus/educational_institution ?a ?e /education/educational_institution_campus/educational_institution ?b => ?a /education/educational_institution_campus/educational_institution ?b,1,1,1,526,526,526,?a,10,1,0,5,0,0,"The explanation for this rule is: If two educational institutions are located on the same campus, then they are directly connected as being part of the same educational institution.","The explanation for this rule is: When two educational institutions share the same campus in the knowledge graph, it implies that they are both instances of the same educational institution. ",18.3889389,40.88766098,30,
?e /education/educational_institution/campuses ?a ?e /education/educational_institution_campus/educational_institution ?b => ?a /education/educational_institution_campus/educational_institution ?b,0.807984791,1,1,425,425,425,?a,10,1,0,5,0,0,"The explanation for this rule is: When an educational institution has campuses, and those campuses are related to the same educational institution, then those campuses are directly associated with the educational institution as well.","The explanation for this rule is: When an educational institution has campuses and these campuses are associated with an educational institution, then the educational institution is connected to the educational institution campus.",21.17912292,29.7760582,31,
?e /education/educational_institution/campuses ?a ?e /education/educational_institution/campuses ?b => ?a /education/educational_institution_campus/educational_institution ?b,0.807984791,0.797373358,1,425,533,425,?a,10,1,0,5,0,0,"The explanation for this rule is: If two educational institutions have shared campuses, then they are considered to be part of the same educational institution campus network.","The explanation for this rule is: If two educational institutions share the same campuses, then they are both campuses of the same educational institution.",32.21179581,24.96817017,32,
?e /education/educational_institution/campuses ?a ?e /education/educational_institution/campuses ?b => ?a /education/educational_institution/campuses ?b,1,1,1,533,533,533,?a,10,1,0,5,0,0,"The explanation for this rule is: If two educational institutions share the same campuses, then they are considered to have a common campus.","The explanation for this rule is:  
When an educational institution ""e"" has campuses ""a"" and the same institution ""e"" has campuses ""b"", then it implies that campuses ""a"" and ""b"" belong to the same educational institution.",26.24194336,20.72976685,33,
?e /education/educational_institution_campus/educational_institution ?a ?e /education/educational_institution_campus/educational_institution ?b => ?a /education/educational_institution/campuses ?b,0.797373358,0.807984791,1,425,526,425,?a,10,1,0,5,0,0,"The explanation for this rule is: If two educational institutions share a campus, then they are considered to have campuses belonging to the same educational institution.","The explanation for this rule is: When an educational institution campus ""e"" belongs to the educational institution ""a"" and another educational institution campus ""e"" belongs to the educational institution ""b"", then the educational institution ""a"" has campuses that include the educational institution ""b"".",23.46477127,18.11320114,34,
?e /education/educational_institution/campuses ?a ?e /education/educational_institution_campus/educational_institution ?b => ?a /education/educational_institution/campuses ?b,0.797373358,1,1,425,425,425,?a,10,1,0,5,0,0,"The explanation for this rule is: If an educational institution (e) has campuses (a) and each campus (a) belongs to that same educational institution (b), then we can infer that the educational institution (b) also has those campuses (a).","The explanation for this rule is: When an educational institution has campuses and each campus is associated with the same educational institution, then the educational institution has campuses that include all the campuses associated with it.",21.92861557,27.31329346,35,
?e /location/hud_county_place/place ?a ?e /location/hud_county_place/place ?b => ?a /location/hud_county_place/place ?b,1,1,1,459,459,459,?a,10,1,1,5,0,0,"The explanation for this rule is: If entity a and entity b both have a relationship to entity e where e is a specific place in a county according to the U.S. Department of Housing and Urban Development (HUD), then entities a and b have a direct relationship where both are in the same place within the same county according to HUD.","The explanation for this rule is: If entity ""a"" is located in the same place as entity ""e"", and entity ""e"" is located in the same place as entity ""b"", then entity ""a"" is also located in the same place as entity ""b"".",14.74001026,5.669976234,36,
?e /education/educational_institution_campus/educational_institution ?a ?e /organization/organization_founder/organizations_founded ?b => ?a /organization/organization_founder/organizations_founded ?b,0.051094891,1,1,7,7,7,?a,10,1,0,5,0,0,"The explanation for this rule is: If an educational institution campus is associated with an educational institution, and the educational institution is also founded by an organization, then that organization is also considered as having founded the educational institution.","The explanation for this rule is: When an educational institution campus ""e"" is associated with an educational institution ""a"" and the organization ""a"" is the founder of organization ""b"", then organization ""a"" is also the founder of organization ""b"".",20.95694733,20.50260925,37,
?e /education/educational_institution/campuses ?a ?e /organization/organization_founder/organizations_founded ?b => ?a /organization/organization_founder/organizations_founded ?b,0.04379562,1,1,6,6,6,?a,10,1,0,5,0,0,"The explanation for this rule is:  
If an educational institution has campuses and the same educational institution is founded by an individual, then that individual also founded the educational institution's campuses.","The explanation for this rule is: When an educational institution has campuses where an organization founder has founded organizations, then those organizations are also founded by the organization founder.",47.24272919,46.85960388,38,
?e /location/hud_county_place/place ?a ?e /location/location/time_zones ?b => ?a /location/location/time_zones ?b,0.288444831,1,1,332,332,332,?a,10,1,0,5,0,0,"The explanation for this rule is: If an entity is a place in a specific county and has a time zone, then the county it belongs to also has that same time zone.","The explanation for this rule is: When a place in a HUD county is associated with a certain time zone ""b"", then that place is also associated with the same time zone ""b"".",26.43623734,36.91004562,39,
?e /education/educational_institution/campuses ?a ?e /education/educational_institution/colors ?b => ?a /education/educational_institution/colors ?b,0.73364486,1,1,628,628,628,?a,10,1,0,5,0,0,"The explanation for this rule is: If an educational institution has campuses with a certain color, then that educational institution can be assigned that color.","The explanation for this rule is: When an educational institution has campuses that are associated with specific colors, then those colors are also associated with the educational institution itself.",42.95083237,32.2869606,40,
?e /location/administrative_division/country ?a ?e /location/country/form_of_government ?b => ?a /location/country/form_of_government ?b,0.046979866,0.933333333,0.933333333,14,15,15,?a,10,1,0,5,0,0,"The explanation for this rule is:  
If an entity is located in a specific country and that country has a particular form of government, then the entity is associated with the same form of government as the country.","The explanation for this rule is: When an entity is located in an administrative division that is a country, and this entity's country has a specific form of government, then the initial entity's country also has that specific form of government.",19.87827873,24.62263107,41,Jersey /location/administrative_division/country United Kingdom Jersey /location/country/form_of_government Parliamentary system => United Kingdom /location/country/form_of_government Parliamentary system
?e /education/educational_institution/campuses ?a ?e /education/university/fraternities_and_sororities ?b => ?a /education/university/fraternities_and_sororities ?b,0.702290076,1,1,92,92,92,?a,10,1,1,5,0,0,"The explanation for this rule is: If an educational institution has campuses where fraternities and sororities are present, then those fraternities and sororities are also associated with the educational institution itself.","The explanation for this rule is: When an educational institution has campuses where fraternities and sororities are present, then those fraternities and sororities belong to the same university as the educational institution.",13.50936413,13.49392891,42,
?e /education/educational_institution_campus/educational_institution ?a ?e /education/university/fraternities_and_sororities ?b => ?a /education/university/fraternities_and_sororities ?b,0.694656489,1,1,91,91,91,?a,10,1,0,5,0,0,"The explanation for this rule is: If an educational institution campus is related to a university's fraternities and sororities, then the university itself is also related to the same fraternities and sororities.","The explanation for this rule is: If an educational institution campus is affiliated with a university which has fraternities and sororities, then the same university also has fraternities and sororities.",13.96311951,14.40134239,43,
?e /education/educational_institution/campuses ?a ?e /education/educational_institution/school_type ?b => ?a /education/educational_institution/school_type ?b,0.712912088,1,1,519,519,519,?a,10,1,0,5,0,0,"The explanation for this rule is: If an educational institution has multiple campuses and belongs to a certain school type, then all of its campuses also belong to the same school type.","The explanation for this rule is: When an educational institution with campuses “e” of a specific school type “b” is mentioned, it implies that the educational institution of that specific school type “b” is in question, ensuring consistency in the representation of the school type across the knowledge graph.",20.89390182,45.64561462,44,
?e /award/award_category/category_of ?a ?e /award/award_category/disciplines_or_subjects ?b => ?a /award/award_category/disciplines_or_subjects ?b,0.142156863,0.935483871,1,29,31,29,?a,10,1,0,5,0,0,"The explanation for this rule is: When an entity is related to a specific award category as its category, and the same entity is also associated with certain disciplines or subjects within that category, then the award category itself is also linked to those same disciplines or subjects.","The explanation for this rule is: When an entity is categorized under a certain award category and is associated with specific disciplines or subjects, then the award category itself is also linked to those same disciplines or subjects.",22.75748062,25.67948723,45,
?b /location/hud_county_place/county ?a ?b /location/us_county/county_seat ?a => ?a /location/us_county/county_seat ?b,0.055248619,1,1,10,10,10,?a,10,1,0,8,0,0,"The explanation for this rule is: If a place in a county is the county seat of that county, then the county seat of the county is the place.","The explanation for this rule is: If a place is the county seat of a county in the United States, then the county seat of that county is the place.",17.11615562,13.94584274,46,
?b /location/hud_county_place/county ?f ?a /location/us_county/county_seat ?f => ?a /location/us_county/county_seat ?b,0.066298343,1,1,12,12,12,?a,10,1,0,11,0,0,"The explanation for this rule is: If a place in a county serves as the county seat of that county, then the county seat of that county is the place (transitive property of county seats).","The explanation for this rule is: If a place in a county ""b"" is the county seat of that county ""f"", then the county seat of that county ""f"" is the place in county ""b"".",28.74174881,16.41479301,47,
?b /location/hud_county_place/place ?f ?a /location/us_county/county_seat ?f => ?a /location/us_county/county_seat ?b,0.718232044,1,1,130,130,130,?a,10,1,0,11,0,0,"The explanation for this rule is: If a place in a county is the county seat of another county, then the county seat of the first county is the place in the second county.","The explanation for this rule is: When a place 'b' is located in a county seat 'f' of a US county, then the county seat 'f' is located in the US county where place 'b' is situated.",14.17663383,21.21221924,48,
?b /location/hud_county_place/place ?f ?a /people/deceased_person/place_of_death ?f => ?a /people/deceased_person/place_of_death ?b,0.438848921,1,1,305,305,305,?a,10,1,0,11,0,0,"The explanation for this rule is: If a deceased person (denoted as ?a) passed away in a certain place (linked by the property /people/deceased_person/place_of_death), and that place is located within a specific county/place (connected by the property /location/hud_county_place/place) denoted as ?b, then we can infer that the deceased person (?a) also passed away in the county/place denoted as ?b.","The explanation for this rule is: When a deceased person dies in a place ""f"" that is a county within a specific location ""b"", then that place ""b"" becomes the place of death for the deceased person.",23.63746643,26.74466515,49,
?b /education/educational_institution/campuses ?f ?a /education/educational_institution_campus/educational_institution ?f => ?a /education/educational_institution_campus/educational_institution ?b,0.807984791,1,1,425,425,425,?a,10,1,0,11,0,0,"The explanation for this rule is: If a educational institution has campuses and a campus belongs to a certain educational institution, then the campus is associated with that educational institution.","The explanation for this rule is: When an educational institution campus ""b"" has campuses ""f"" and an educational institution ""a"" is associated with campus ""f"", then educational institution ""a"" is associated with the campus ""b"".",27.34379387,22.89804459,50,
?b /education/educational_institution/campuses ?f ?a /education/educational_institution_campus/educational_institution ?f => ?a /education/educational_institution/campuses ?b,0.797373358,1,1,425,425,425,?a,10,1,1,11,0,0,"The explanation for this rule is: ""If an educational institution has campuses and a campus is associated with that same educational institution, then those campuses are linked back to the educational institution.""","The explanation for this rule is: When an educational institution ""a"" has campuses ""b"" and these campuses are associated with educational institution ""f"", then ""f"" also has campuses that include ""a"".",26.01587296,36.34010696,51,
?b /location/hud_county_place/place ?f ?a /music/artist/origin ?f => ?a /music/artist/origin ?b,0.375,1,1,207,207,207,?a,10,1,0,11,0,0,"The explanation for this rule is: If a location (HUD county) is connected to a place and an artist is connected to the same place as their origin, then the artist can also be considered to have the location (HUD county) as their origin.","The explanation for this rule is: When an artist originates from a place ""b"" in a HUD county, and the same artist is also associated with a place ""f"" as their origin, then place ""b"" can be considered as the origin of the artist associated with place ""f"".",27.29891205,26.41635895,52,
?b /location/hud_county_place/place ?f ?a /time/event/locations ?f => ?a /time/event/locations ?b,0.399449036,1,1,145,145,145,?b,10,1,0,11,0,0,"The explanation for this rule is: 
If a place (b) is located in a specific county (hud_county_place) and this place (b) is also associated with an event (a) through locations, then the event (a) should also be linked to the county where the place (b) is located.","The explanation for this rule is: When an entity ""b"" is located in a specific county or place and is linked to an event ""f"" through the location relationship, and another entity ""a"" is linked to the same event ""f"" through the time and locations relationships, then entity ""a"" is also linked to entity ""b"" through the time and locations relationships.",22.82658005,13.82980156,53,
?b /education/educational_institution_campus/educational_institution ?f ?a /location/location/contains ?f => ?a /location/location/contains ?b,0.223610844,1,1,1163,1163,1163,?b,10,1,0,11,0,0,"The explanation for this rule is: When an educational institution campus is located within a certain location, and that location contains a different entity, then that different entity is also considered to contain the educational institution campus.","The explanation for this rule is: When an educational institution campus ""b"" is part of an educational institution ""f"" and a location ""a"" contains ""f"", then the location ""a"" also contains the educational institution campus ""b"".",33.7420311,27.76858139,54,
?b /education/educational_institution/campuses ?f ?a /location/location/contains ?f => ?a /location/location/contains ?b,0.223034032,1,1,1160,1160,1160,?b,10,1,0,11,0,0,"The explanation for this rule is: If an educational institution has campuses located within a certain location, then that location contains the educational institution.","The explanation for this rule is: When an educational institution's campuses are located within a specific location, then that specific location contains the educational institution.",39.49513626,41.75281525,55,
?b /location/hud_county_place/place ?f ?a /location/location/contains ?f => ?a /location/location/contains ?b,0.174581811,1,1,908,908,908,?b,10,1,0,11,0,0,"The explanation for this rule is: If a place (b) is within a county or a larger region (f), and that region (f) is contained within another location (a), then the county or region (f) is also contained within the larger location (a).","The explanation for this rule is: When a place ""b"" contains another place ""f"" and ""a"" contains ""f"", then it can be inferred that ""a"" contains ""b"" as well in the context of locations.",15.9463377,20.32585526,56,
?b /location/hud_county_place/place ?f ?a /people/person/place_of_birth ?f => ?a /people/person/place_of_birth ?b,0.371196755,1,1,915,915,915,?a,10,1,0,11,0,0,"The explanation for this rule is: If a person (denoted as ?a) was born in a certain place (?f) and that place is located within a specific county or region (?b), then the person (?a) can be inferred to have been born in that county or region as well (?b).","The explanation for this rule is: If a person ""a"" was born in the same place as a location ""b"" of a county (hud) or place (place), and both share a common place (f), then it implies that the location ""b"" is also a place of birth for the person ""a"".",15.78705502,25.10807037,57,
?b /location/hud_county_place/place ?f ?a /organization/organization/place_founded ?f => ?a /organization/organization/place_founded ?b,0.403846154,1,1,42,42,42,?a,10,1,0,11,0,0,"The explanation for this rule is: ""If a place is located in a certain county, and an organization was founded in that place, then the organization is considered to be founded in that county as well.""","The explanation for this rule is: When a place ""b"" is located in a county or place ""f"" and an organization ""a"" is founded in the same place ""f"", then the organization ""a"" is also founded in the place ""b"".",15.72875881,16.62675667,58,
