id,which explanation 1 or 2,# missing entities,# missing relationships,# extra entities,# extra relationships,correctness 1-5,clarity 1-5,is the rule logically sound? (1-3)
633,2.0,0.0,0.0,0.3333333333333333,0.0,4.666666666666667,5.0,2.6666666666666665
641,1.0,0.0,0.0,0.3333333333333333,0.0,4.333333333333333,5.0,2.6666666666666665
645,1.0,0.0,0.0,0.6666666666666666,0.0,4.666666666666667,5.0,2.6666666666666665
695,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
696,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
708,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
712,2.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.6666666666666665,4.666666666666667,2.6666666666666665
735,2.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,4.333333333333333,4.333333333333333,2.6666666666666665
737,2.0,0.0,0.0,0.6666666666666666,0.3333333333333333,4.333333333333333,5.0,2.6666666666666665
751,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.3333333333333335,3.6666666666666665,2.3333333333333335
756,2.0,0.0,0.0,1.0,0.6666666666666666,3.6666666666666665,4.0,2.6666666666666665
759,2.0,0.0,0.0,1.3333333333333333,0.6666666666666666,3.6666666666666665,4.333333333333333,2.0
778,2.0,0.0,0.0,0.6666666666666666,0.3333333333333333,4.5,4.666666666666667,2.0
807,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333,4.666666666666667,4.0,1.3333333333333333
828,2.0,0.0,0.0,0.16666666666666666,0.0,5.0,4.666666666666667,1.3333333333333333
833,2.0,0.0,0.0,0.3333333333333333,0.0,5.0,4.666666666666667,1.3333333333333333
840,2.0,0.0,0.0,0.0,0.0,5.0,4.333333333333333,1.3333333333333333
865,1.0,0.8333333333333334,0.0,0.3333333333333333,0.0,4.0,4.666666666666667,1.3333333333333333
871,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,3.6666666666666665,5.0,2.3333333333333335
875,2.0,0.0,0.0,1.0,0.3333333333333333,4.333333333333333,5.0,1.3333333333333333
915,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,4.666666666666667,4.666666666666667,3.0
961,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,3.6666666666666665,3.0,2.0
978,1.0,0.3333333333333333,0.0,0.0,0.0,4.666666666666667,4.666666666666667,2.0
1099,2.0,0.0,0.0,0.5,0.0,4.166666666666667,4.666666666666667,2.6666666666666665
1128,2.0,0.0,0.0,0.5,0.0,5.0,5.0,3.0
1169,2.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0
1189,2.0,0.0,0.0,0.3333333333333333,0.0,4.333333333333333,5.0,3.0
1191,2.0,0.0,0.0,0.0,0.0,4.5,4.333333333333333,2.0
1198,2.0,0.0,0.0,0.0,0.0,4.833333333333333,5.0,2.3333333333333335
1209,2.0,0.0,0.0,0.0,0.0,4.833333333333333,5.0,2.3333333333333335
1222,2.0,0.3333333333333333,0.0,0.0,0.0,3.6666666666666665,4.333333333333333,2.3333333333333335
1253,2.0,0.0,0.0,0.0,0.0,5.0,4.666666666666667,2.6666666666666665
1286,2.0,0.0,0.0,1.0,0.6666666666666666,3.6666666666666665,5.0,2.3333333333333335
1300,2.0,0.0,0.3333333333333333,0.3333333333333333,0.0,3.8333333333333335,4.166666666666667,3.0
1304,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,3.6666666666666665,5.0,2.3333333333333335
1364,1.0,0.0,0.0,0.5,0.0,3.6666666666666665,4.666666666666667,2.0
1367,1.0,0.0,0.0,0.3333333333333333,0.0,3.3333333333333335,4.333333333333333,2.0
1369,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,4.0,5.0,2.0
1403,1.0,1.0,0.0,0.3333333333333333,0.0,2.6666666666666665,5.0,1.3333333333333333
1405,2.0,1.0,0.0,0.6666666666666666,0.6666666666666666,3.0,4.0,1.0
1407,1.0,0.0,0.0,0.6666666666666666,0.0,4.333333333333333,5.0,2.6666666666666665
1422,2.0,0.0,0.3333333333333333,0.0,0.0,5.0,5.0,2.6666666666666665
1429,1.0,0.0,0.0,0.6666666666666666,0.0,4.333333333333333,4.666666666666667,2.6666666666666665
1433,2.0,0.0,0.3333333333333333,0.0,0.3333333333333333,4.333333333333333,4.666666666666667,2.6666666666666665
1445,2.0,0.0,0.0,0.0,0.0,4.666666666666667,5.0,2.6666666666666665
1451,2.0,0.0,0.0,0.3333333333333333,0.0,4.666666666666667,5.0,2.0
1466,1.0,0.0,0.0,0.3333333333333333,0.0,5.0,5.0,3.0
1468,2.0,0.5,0.0,1.0,0.5,4.0,4.5,3.0
1471,2.0,0.5,0.0,0.5,0.0,3.75,5.0,2.5
1533,2.0,1.0,0.0,1.0,0.0,4.5,5.0,3.0
1579,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.5
1593,2.0,0.0,0.0,0.0,0.0,4.0,4.75,2.0
1625,1.0,0.25,0.0,0.5,0.0,4.0,5.0,2.0
1631,2.0,0.25,0.0,0.0,0.0,4.5,5.0,2.0
1647,2.0,0.25,0.0,0.0,0.0,5.0,5.0,2.0
1653,2.0,0.25,0.0,0.5,0.0,4.75,5.0,2.0
1672,1.0,0.25,0.0,0.25,0.0,5.0,5.0,2.0
1729,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
1743,1.0,0.25,0.0,0.0,0.0,5.0,5.0,2.0
1813,1.0,0.0,0.0,0.25,0.25,3.5,5.0,2.5
1816,2.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
1820,2.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
1863,2.0,0.0,0.0,0.75,0.0,5.0,5.0,2.5
1901,2.0,0.5,0.5,0.0,0.0,4.0,5.0,2.5
1914,2.0,0.0,0.25,0.0,0.0,5.0,5.0,3.0
1915,2.0,0.0,0.25,0.0,0.0,5.0,5.0,2.5
1935,2.0,0.0,0.25,0.0,0.0,5.0,5.0,2.5
1971,2.0,0.0,0.25,0.5,0.0,4.75,5.0,2.5
1980,1.0,0.0,0.0,0.5,0.0,4.75,5.0,2.5
1981,2.0,0.0,0.25,0.0,0.0,5.0,5.0,2.0
1987,2.0,0.0,0.25,0.0,0.0,4.5,5.0,2.5
1994,2.0,0.0,0.0,0.25,0.5,4.0,5.0,2.0
2033,2.0,0.0,0.0,0.5,0.0,4.75,5.0,1.5
2040,1.0,0.0,0.0,0.5,0.0,4.0,5.0,1.5
2056,2.0,0.0,0.0,1.0,0.0,4.0,5.0,2.0
2070,2.0,0.0,0.0,1.0,0.0,4.0,5.0,2.0
2071,2.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
2089,1.0,0.5,0.0,0.0,0.0,4.5,5.0,2.0
2097,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
2100,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
2102,2.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
2106,2.0,0.5,0.0,0.0,0.0,4.5,5.0,2.0
2141,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
2153,2.0,0.5,0.0,0.0,0.0,4.5,5.0,2.0
2162,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
2237,1.0,0.5,0.0,0.0,0.0,5.0,5.0,2.0
2279,1.0,0.0,0.0,1.0,0.0,4.0,5.0,2.0
2291,2.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
2366,2.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
2374,1.0,0.0,0.0,0.5,0.0,5.0,5.0,2.0
2388,1.0,0.0,0.0,0.5,0.0,5.0,5.0,2.0
2392,1.0,0.0,0.0,0.5,0.0,4.5,5.0,2.0
2402,1.0,0.0,0.0,0.5,0.0,4.5,5.0,2.0
2453,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
2468,2.0,0.0,0.0,0.5,0.0,4.0,5.0,2.0
2486,2.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
2500,2.0,0.0,0.0,0.0,0.0,5.0,4.5,2.0
2535,2.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
2546,2.0,0.0,0.0,1.0,1.0,3.0,5.0,2.0
2603,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
2606,1.0,0.5,0.0,0.0,0.0,3.5,5.0,2.0
2612,2.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0
2641,1.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0
2691,1.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0
2697,1.0,0.5,0.0,0.0,0.0,4.5,5.0,2.0
2700,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0
2707,2.0,0.5,0.0,0.0,0.0,3.0,4.0,2.0
2715,2.0,0.0,0.0,0.0,0.0,4.5,5.0,2.0
2828,2.0,0.5,0.0,0.0,0.0,3.0,5.0,3.0
2836,,,,,,,,
2843,,,,,,,,
2852,,,,,,,,
2867,,,,,,,,
2924,,,,,,,,
2930,,,,,,,,
2954,,,,,,,,
2959,,,,,,,,
2970,,,,,,,,
2975,,,,,,,,
3003,,,,,,,,
3004,,,,,,,,
3045,,,,,,,,
3060,,,,,,,,
3072,,,,,,,,
3160,,,,,,,,
3166,,,,,,,,
3203,,,,,,,,
3205,,,,,,,,
3224,,,,,,,,
3250,,,,,,,,
3292,,,,,,,,
3293,,,,,,,,
3294,,,,,,,,
3304,,,,,,,,
3335,,,,,,,,
3336,,,,,,,,
3348,,,,,,,,
3398,,,,,,,,
3412,,,,,,,,
3425,,,,,,,,
3447,,,,,,,,
3451,,,,,,,,
3464,,,,,,,,
3485,,,,,,,,
3498,,,,,,,,
3543,,,,,,,,
3579,,,,,,,,
3592,,,,,,,,
3596,,,,,,,,
3646,,,,,,,,
3666,,,,,,,,
3667,,,,,,,,
3712,,,,,,,,
3728,,,,,,,,
3730,,,,,,,,
3746,,,,,,,,
3829,,,,,,,,
3842,,,,,,,,
3849,,,,,,,,
3890,,,,,,,,
3904,,,,,,,,
3909,,,,,,,,
3912,,,,,,,,
3915,,,,,,,,
3977,,,,,,,,
3980,,,,,,,,
4041,,,,,,,,
4046,,,,,,,,
4058,,,,,,,,
4106,,,,,,,,
4124,,,,,,,,
4137,,,,,,,,
4162,,,,,,,,
4181,,,,,,,,
4215,,,,,,,,
4216,,,,,,,,
4222,,,,,,,,
4238,,,,,,,,
4239,,,,,,,,
4248,,,,,,,,
4266,,,,,,,,
4269,,,,,,,,
4301,,,,,,,,
4324,,,,,,,,
4343,,,,,,,,
4402,,,,,,,,
4439,,,,,,,,
4476,,,,,,,,
4482,,,,,,,,
4492,,,,,,,,
4508,,,,,,,,
4522,,,,,,,,
4532,,,,,,,,
4547,,,,,,,,
4583,,,,,,,,
4616,,,,,,,,
4625,,,,,,,,
4630,,,,,,,,
4644,,,,,,,,
4651,,,,,,,,
4684,,,,,,,,
4722,,,,,,,,
4799,,,,,,,,
4813,,,,,,,,
4827,,,,,,,,
4844,,,,,,,,
4846,,,,,,,,
4850,,,,,,,,
