Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?a  492  119366   => ?a  493  119366,0.902439024,0.956896552,0.991071429,111,116,112,?a,119363 492 119366 => 119367 493 119366,?a /spaceflight/rocket_engine/designed_by NPO Energomash => ?a /spaceflight/rocket_engine/manufactured_by NPO Energomash,RD-250M /spaceflight/rocket_engine/designed_by NPO Energomash => RD-117 /spaceflight/rocket_engine/manufactured_by NPO Energomash,"{'?a': ""['/spaceflight/rocket_engine', '/spaceflight/bipropellant_rocket_engine']""}"
?a  491  1372967   => ?a  493  119366,0.243902439,0.967741935,1.0,30,31,30,?a,42824010 491 1372967 => 44393670 493 119366,?a /spaceflight/bipropellant_rocket_engine/oxidizer Nitric acid => ?a /spaceflight/rocket_engine/manufactured_by NPO Energomash,RD-222 /spaceflight/bipropellant_rocket_engine/oxidizer Nitric acid => RD-1 /spaceflight/rocket_engine/manufactured_by NPO Energomash,"{'?a': ""['/spaceflight/rocket_engine', '/spaceflight/bipropellant_rocket_engine']""}"
?a  776  331229   => ?a  774  331052,0.101222134,0.980811404,0.980811404,1789,1824,1824,?a,8423597 776 331229 => 39212953 774 331052,?a /medicine/drug_formulation/routes Intradermal => ?a /medicine/drug_formulation/dosage_form Injectable solution,Scotch pine 0.05 injectable solution /medicine/drug_formulation/routes Intradermal => Trichoderma harzianam 40000 injectable solution /medicine/drug_formulation/dosage_form Injectable solution,"{'?a': ""['/medicine/drug_formulation']""}"
?a  559  81391   => ?a  559  81390,0.295597484,0.989473684,0.989473684,188,190,190,?a,1749277 559 81391 => 31238800 559 81390,?a /food/ingredient/incompatible_with_dietary_restrictions Vegetarian food => ?a /food/ingredient/incompatible_with_dietary_restrictions Veganism,Japanese amberjack /food/ingredient/incompatible_with_dietary_restrictions Vegetarian food => Beef tongue /food/ingredient/incompatible_with_dietary_restrictions Veganism,"{'?a': ""['/biology/organism_part', '/food/food', '/food/ingredient']""}"
?a  569  283432   => ?a  578  313358,0.0982231,0.995,0.995,199,200,200,?a,27692442 569 283432 => 10459282 578 313358,?a /award/competition/instance_of_recurring_competition Deal or No Deal => ?a /award/competition/type_of_competition Game show,Episode #1.16 /award/competition/instance_of_recurring_competition Deal or No Deal => Episode 420 /award/competition/type_of_competition Game show,"{'?a': ""['/award/competition', '/time/event', '/tv/tv_series_episode']""}"
?b  91  1222582   => 1222582  987  ?b,0.057702488,1.0,1.0,109,109,109,?b,41103449 91 1222582 => 1222582 987 14878420,?b /time/event/instance_of_recurring_event World Series => World Series /sports/sports_championship/events ?b,1945 World Series /time/event/instance_of_recurring_event World Series => World Series /sports/sports_championship/events 1937 World Series,"{'?b': ""['/book/book_subject', '/time/event', '/sports/sports_championship_event']""}"
?a  569  313360   => ?a  578  313358,0.048864758,1.0,1.0,99,99,99,?a,34317311 569 313360 => 8980455 578 313358,?a /award/competition/instance_of_recurring_competition Wipeout => ?a /award/competition/type_of_competition Game show,Summer Sneak Peek /award/competition/instance_of_recurring_competition Wipeout => Welcome Back America /award/competition/type_of_competition Game show,"{'?a': ""['/time/event', '/award/competition', '/tv/tv_series_episode']""}"
?a  569  12773   => ?a  578  337262,0.076999013,1.0,1.0,156,156,156,?a,40571274 569 12773 => 5375825 578 337262,?a /award/competition/instance_of_recurring_competition Chopped => ?a /award/competition/type_of_competition Food reality television,A Bunny Thing Happened /award/competition/instance_of_recurring_competition Chopped => Quail\ Arctic Char\ Beer /award/competition/type_of_competition Food reality television,"{'?a': ""['/tv/tv_series_episode', '/time/event', '/award/competition']""}"
?a  569  719955   => ?a  578  326424,0.064165844,1.0,1.0,130,130,130,?a,25018878 569 719955 => 39650652 578 326424,?a /award/competition/instance_of_recurring_competition Fear Factor => ?a /award/competition/type_of_competition Reality television,Public Nudity; Eat Roaches; Chain Submerge /award/competition/instance_of_recurring_competition Fear Factor => Family Beam Walk; Family of Roaches; Kid-A-Pult /award/competition/type_of_competition Reality television,"{'?a': ""['/award/competition', '/time/event', '/tv/tv_series_episode']""}"
?a  491  701853   => ?a  493  119366,0.048780488,1.0,1.0,6,6,6,?a,40876875 491 701853 => 40876875 493 119366,?a /spaceflight/bipropellant_rocket_engine/oxidizer Hydrogen peroxide => ?a /spaceflight/rocket_engine/manufactured_by NPO Energomash,RD-161P /spaceflight/bipropellant_rocket_engine/oxidizer Hydrogen peroxide => RD-161P /spaceflight/rocket_engine/manufactured_by NPO Energomash,"{'?a': ""['/spaceflight/bipropellant_rocket_engine', '/spaceflight/rocket_engine']""}"
?b  1614  ?a   => ?a  1032  ?b,0.113207547,1.0,1.0,12,12,12,?a,157607 1614 12032206 => 1243452 1032 157607,?b /time/calendar/month_names ?a => ?a /time/month/calendar_system ?b,Gregorian calendar /time/calendar/month_names October => September /time/month/calendar_system Gregorian calendar,"{'?b': ""['/time/calendar', '/symbols/namesake']"", '?a': ""['/time/month']""}"
?a  108  ?e  ?e  152  ?b   => ?a  108  ?b,0.385403727,1.0,1.0,3723,3723,3723,?a,1778255 108 30752 1182105 152 1182105 => 1778255 108 30752,?a /location/neighborhood/neighborhood_of ?e ?e /location/hud_county_place/place ?b => ?a /location/neighborhood/neighborhood_of ?b,Little Italy /location/neighborhood/neighborhood_of New York City 1182105 /location/hud_county_place/place 1182105 => Little Italy /location/neighborhood/neighborhood_of New York City,"{'?a': ""['/travel/tourist_attraction', '/location/location', '/location/neighborhood']"", '?e': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']"", '?b': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']""}"
?a  108  ?f  ?b  152  ?f   => ?a  108  ?b,0.385403727,1.0,1.0,3723,3723,3723,?a,1778255 108 30752 1182105 152 1182105 => 1778255 108 30752,?a /location/neighborhood/neighborhood_of ?f ?b /location/hud_county_place/place ?f => ?a /location/neighborhood/neighborhood_of ?b,Little Italy /location/neighborhood/neighborhood_of New York City 1182105 /location/hud_county_place/place 1182105 => Little Italy /location/neighborhood/neighborhood_of New York City,"{'?a': ""['/travel/tourist_attraction', '/location/location', '/location/neighborhood']"", '?f': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']"", '?b': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']""}"
?a  109  ?f  ?f  283  ?b   => ?a  283  ?b,0.966981132,1.0,1.0,205,205,205,?a,18091036 109 18091036 9296691 283 39916892 => 9296691 283 39916892,?a /education/educational_institution/campuses ?f ?f /education/university/number_of_postgraduates ?b => ?a /education/university/number_of_postgraduates ?b,The Art Institute of Seattle /education/educational_institution/campuses The Art Institute of Seattle Upper Iowa University /education/university/number_of_postgraduates 39916892 => Upper Iowa University /education/university/number_of_postgraduates 39916892,"{'?a': ""['/organization/organization', '/education/university', '/business/business_operation', '/education/educational_institution', '/organization/non_profit_organization', '/location/location', '/education/educational_institution_campus', '/business/employer', '/organization/endowed_organization']"", '?f': ""['/organization/organization', '/education/university', '/business/business_operation', '/education/educational_institution', '/organization/non_profit_organization', '/location/location', '/education/educational_institution_campus', '/business/employer', '/organization/endowed_organization']""}"
?a  1408  ?f  ?b  626  ?f   => ?a  625  ?b,0.257425743,1.0,1.0,26,26,26,?b,3155341 1408 155765 1102042 626 3609566 => 698624 625 6672917,?a /location/fr_region/capital ?f ?b /location/fr_department/chef_lieu ?f => ?a /location/fr_region/departments ?b,Upper Normandy /location/fr_region/capital Rouen 1102042 /location/fr_department/chef_lieu 3609566 => Alsace /location/fr_region/departments Bas-Rhin,"{'?a': ""['/government/governmental_jurisdiction', '/wine/wine_region', '/periodicals/newspaper_circulation_area', '/location/location', '/location/dated_location', '/location/administrative_division', '/location/fr_region', '/location/region', '/location/statistical_region']"", '?f': ""['/travel/travel_destination', '/location/statistical_region', '/location/dated_location', '/location/location', '/location/capital_of_administrative_division', '/visual_art/art_subject', '/location/citytown']"", '?b': ""['/location/fr_department', '/location/dated_location', '/location/location', '/location/statistical_region', '/location/administrative_division']""}"
?a  1421  ?e  ?e  435  ?b   => ?a  1422  ?b,1.0,1.0,1.0,862,862,862,?b,333820 1421 11981376 4021779 435 114679 => 107200 1422 3108405,?a /biology/chromosome/locus ?e ?e /biology/genomic_locus/band ?b => ?a /biology/chromosome/band ?b,Escherichia coli str. K-12 substr. MG1655 /biology/chromosome/locus b2995 19 + [40811819\40820426] /biology/genomic_locus/band Human Cytogenetic Band 19q13.12 => Chromosome 14 (human) /biology/chromosome/band Human Cytogenetic Band 14q31.3,"{'?a': ""['/biology/chromosome']"", '?e': ""['/biology/genomic_locus']"", '?b': ""['/biology/cytogenetic_band']""}"
?a  1421  ?f  ?b  438  ?f   => ?a  1422  ?b,1.0,1.0,1.0,862,862,862,?b,333820 1421 11981376 10016447 438 17719380 => 107200 1422 3108405,?a /biology/chromosome/locus ?f ?b /biology/cytogenetic_band/locus ?f => ?a /biology/chromosome/band ?b,Escherichia coli str. K-12 substr. MG1655 /biology/chromosome/locus b2995 Human Cytogenetic Band 6q23.1 /biology/cytogenetic_band/locus Locus for Human Cytogenetic Band 6q23.1 => Chromosome 14 (human) /biology/chromosome/band Human Cytogenetic Band 14q31.3,"{'?a': ""['/biology/chromosome']"", '?f': ""['/biology/genomic_locus']"", '?b': ""['/biology/cytogenetic_band']""}"
?a  1422  ?f  ?b  435  ?f   => ?a  1421  ?b,0.814232746,1.0,1.0,19325,19325,19325,?b,107200 1422 3108405 4021779 435 114679 => 107209 1421 25981237,?a /biology/chromosome/band ?f ?b /biology/genomic_locus/band ?f => ?a /biology/chromosome/locus ?b,Chromosome 14 (human) /biology/chromosome/band Human Cytogenetic Band 14q31.3 19 + [40811819\40820426] /biology/genomic_locus/band Human Cytogenetic Band 19q13.12 => Chromosome 5 /biology/chromosome/locus 5 - [39320757\39400411],"{'?a': ""['/biology/chromosome']"", '?f': ""['/biology/cytogenetic_band']"", '?b': ""['/biology/genomic_locus']""}"
?a  152  ?f  ?f  641  ?b   => ?a  641  ?b,0.467486819,1.0,1.0,532,532,532,?b,29709800 152 29709800 44128 641 9993478 => 44128 641 9993478,?a /location/hud_county_place/place ?f ?f /government/governmental_jurisdiction/government_positions ?b => ?a /government/governmental_jurisdiction/government_positions ?b,Radnor Township /location/hud_county_place/place Radnor Township Portsmouth /government/governmental_jurisdiction/government_positions City manager => Portsmouth /government/governmental_jurisdiction/government_positions City manager,"{'?a': ""['/location/citytown', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/travel/travel_destination', '/film/film_location', '/location/hud_county_place', '/government/governmental_jurisdiction', '/symbols/namesake', '/organization/organization_scope', '/symbols/name_source', '/location/statistical_region', '/location/hud_foreclosure_area', '/location/location']"", '?f': ""['/location/citytown', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/travel/travel_destination', '/film/film_location', '/location/hud_county_place', '/government/governmental_jurisdiction', '/symbols/namesake', '/organization/organization_scope', '/symbols/name_source', '/location/statistical_region', '/location/hud_foreclosure_area', '/location/location']"", '?b': ""['/government/government_office_category', '/fictional_universe/character_occupation', '/book/book_subject']""}"
?a  442  ?f  ?f  443  ?b   => ?a  443  ?b,0.999779425,1.0,1.0,22663,22663,22663,?a,35964441 442 1183197 36291077 443 114290 => 36291077 443 114290,?a /biology/gene_ontology_group/broader_group ?f ?f /biology/gene_ontology_group/data_source ?b => ?a /biology/gene_ontology_group/data_source ?b,peptidyl-serine ADP-ribosylation /biology/gene_ontology_group/broader_group peptidyl-serine modification negative regulation of cell projection organization and biogenesis /biology/gene_ontology_group/data_source 114290 => negative regulation of cell projection organization and biogenesis /biology/gene_ontology_group/data_source 114290,"{'?a': ""['/biology/gene_ontology_group', '/biology/gene_group']"", '?f': ""['/biology/gene_ontology_group', '/biology/gene_group']""}"
?a  442  ?f  ?f  444  ?b   => ?a  444  ?b,0.999779425,1.0,1.0,22663,22663,22663,?a,35964441 442 1183197 12859453 444 114294 => 25981175 444 114298,?a /biology/gene_ontology_group/broader_group ?f ?f /biology/gene_ontology_group/group_type ?b => ?a /biology/gene_ontology_group/group_type ?b,peptidyl-serine ADP-ribosylation /biology/gene_ontology_group/broader_group peptidyl-serine modification GDP-L-fucose biosynthetic process /biology/gene_ontology_group/group_type Biological process => heparan sulfate proteoglycan binding /biology/gene_ontology_group/group_type Molecular function,"{'?a': ""['/biology/gene_ontology_group', '/biology/gene_group']"", '?f': ""['/biology/gene_group', '/biology/gene_ontology_group']"", '?b': ""['/biology/gene_ontology_group_type']""}"
?a  527  ?f  ?b  940  ?f   => ?a  525  ?b,0.702285545,0.999155405,1.0,2366,2368,2366,?a,26506462 527 9700 491 940 2342428 => 27444063 525 160,?a /wine/wine/region ?f ?b /location/country/first_level_divisions ?f => ?a /wine/wine/country ?b,"2004 Alesia ""Sonatera Vineyard"" Sonoma Coast Pinot Noir /wine/wine/region California 491 /location/country/first_level_divisions 2342428 => 2005 Mia's Playground ""Old Vine"" Dry Creek Valley Zinfandel /wine/wine/country United States of America","{'?a': ""['/business/consumer_product', '/wine/wine']"", '?f': ""['/symbols/flag_referent', '/sports/sports_team_location', '/fictional_universe/fictional_setting', '/periodicals/newspaper_circulation_area', '/location/us_state', '/government/political_district', '/government/government_agency', '/film/film_location', '/wine/wine_region', '/location/dated_location', '/organization/organization_scope', '/location/location', '/book/book_subject', '/location/statistical_region', '/location/administrative_division', '/organization/organization', '/military/military_unit_place_of_origin', '/law/court_jurisdiction_area', '/meteorology/cyclone_affected_area', '/government/governmental_jurisdiction', '/symbols/name_source', '/travel/travel_destination']"", '?b': ""['/tv/tv_location', '/sports/sports_team_location', '/event/speech_topic', '/organization/organization_sector', '/government/governmental_jurisdiction', '/olympics/olympic_participating_country', '/location/administrative_division', '/location/country', '/sports/sport_country', '/periodicals/newspaper_circulation_area', '/location/location', '/travel/travel_destination', '/media_common/quotation_subject', '/meteorology/cyclone_affected_area', '/biology/breed_origin', '/exhibitions/exhibition_subject', '/religion/religious_leadership_jurisdiction', '/radio/radio_subject', '/location/dated_location', '/organization/contact_category', '/organization/organization_founder', '/film/film_location', '/location/statistical_region', '/business/business_location', '/media_common/quotation_addressee', '/government/government', '/military/military_unit_place_of_origin', '/fictional_universe/fictional_setting', '/symbols/flag_referent', '/symbols/name_source', '/book/book_subject', '/business/employer', '/organization/organization_member', '/business/asset_owner', '/film/film_subject', '/food/beer_country_region', '/organization/organization_scope', '/cvg/computer_game_region', '/military/military_combatant', '/law/court_jurisdiction_area']""}"
?a  540  ?f  ?f  851  ?b   => ?a  851  ?b,0.409090909,1.0,1.0,360,360,360,?a,8541606 540 8541608 2200410 851 14546225 => 10066805 851 10066806,?a /government/primary_election/follow_on_election ?f ?f /government/election/district ?b => ?a /government/election/district ?b,2008 Republican Primary\ California’s 17th Assembly District /government/primary_election/follow_on_election California’s 17th State Assembly district election\2008 2200410 /government/election/district 14546225 => 2008 Democratic Primary\ California’s 1st Assembly District /government/election/district California’s 1st Assembly District,"{'?a': ""['/time/event', '/government/primary_election', '/government/election']"", '?f': ""['/time/event', '/government/election']"", '?b': ""['/location/dated_location', '/government/political_district', '/location/location']""}"
?b  102  ?a   => ?a  104  ?b,1.0,1.0,1.0,12331,12331,12331,?a,20186757 102 42374969 => 1676313 104 32230911,?b /time/event/next_in_series ?a => ?a /time/event/previous_in_series ?b,1978 Uruguayan Primera División /time/event/next_in_series 1979 Uruguayan Primera División => 2006 Torneo Descentralizado /time/event/previous_in_series 2005 Torneo Descentralizado,"{'?b': ""['/time/event', '/sports/sports_league_season']"", '?a': ""['/soccer/football_league_season', '/time/event', '/sports/sports_league_season']""}"
?b  104  ?a   => ?a  102  ?b,1.0,1.0,1.0,12331,12331,12331,?b,1676313 104 32230911 => 20186757 102 42374969,?b /time/event/previous_in_series ?a => ?a /time/event/next_in_series ?b,2006 Torneo Descentralizado /time/event/previous_in_series 2005 Torneo Descentralizado => 1978 Uruguayan Primera División /time/event/next_in_series 1979 Uruguayan Primera División,"{'?b': ""['/time/event']"", '?a': ""['/time/event']""}"
?b  1079  ?a   => ?a  650  ?b,1.0,1.0,1.0,146,146,146,?a,33545163 1079 33545170 => 34644360 650 34644361,?b /meteorology/tropical_cyclone_season/strongest_storm ?a => ?a /meteorology/tropical_cyclone/strongest_storm_of ?b,2010 Atlantic hurricane season /meteorology/tropical_cyclone_season/strongest_storm Hurricane Igor => Typhoon Megi /meteorology/tropical_cyclone/strongest_storm_of 2010 Pacific typhoon season,"{'?b': ""['/meteorology/tropical_cyclone_season']"", '?a': ""['/meteorology/tropical_cyclone']""}"
?b  109  ?f  ?a  595  ?f   => ?a  595  ?b,0.373333333,1.0,1.0,56,56,56,?b,18091036 109 18091036 38568527 595 28664234 => 38568527 595 28664234,?b /education/educational_institution/campuses ?f ?a /medicine/cancer_center/constituents ?f => ?a /medicine/cancer_center/constituents ?b,The Art Institute of Seattle /education/educational_institution/campuses The Art Institute of Seattle Albert Einstein Cancer Center /medicine/cancer_center/constituents Albert Einstein College of Medicine => Albert Einstein Cancer Center /medicine/cancer_center/constituents Albert Einstein College of Medicine,"{'?b': ""['/education/educational_institution', '/organization/organization', '/medicine/cancer_center_constituent', '/education/university', '/symbols/namesake', '/location/location', '/business/employer', '/education/educational_institution_campus']"", '?f': ""['/education/educational_institution', '/organization/organization', '/medicine/cancer_center_constituent', '/education/university', '/symbols/namesake', '/location/location', '/business/employer', '/education/educational_institution_campus']"", '?a': ""['/organization/organization', '/medicine/cancer_center']""}"
?b  1336  ?f  ?a  542  ?f   => ?a  525  ?b,0.552686257,1.0,1.0,1862,1862,1862,?a,451 1336 14826087 44394748 542 697824 => 27444063 525 160,?b /location/country/second_level_divisions ?f ?a /wine/wine/wine_sub_region ?f => ?a /wine/wine/country ?b,"Brazil /location/country/second_level_divisions Epitaciolândia 44394748 /wine/wine/wine_sub_region 697824 => 2005 Mia's Playground ""Old Vine"" Dry Creek Valley Zinfandel /wine/wine/country United States of America","{'?b': ""['/tv/tv_location', '/sports/sports_team_location', '/event/speech_topic', '/organization/organization_sector', '/government/governmental_jurisdiction', '/olympics/olympic_participating_country', '/location/administrative_division', '/location/country', '/sports/sport_country', '/periodicals/newspaper_circulation_area', '/location/location', '/travel/travel_destination', '/media_common/quotation_subject', '/meteorology/cyclone_affected_area', '/biology/breed_origin', '/exhibitions/exhibition_subject', '/religion/religious_leadership_jurisdiction', '/radio/radio_subject', '/location/dated_location', '/organization/contact_category', '/organization/organization_founder', '/film/film_location', '/location/statistical_region', '/business/business_location', '/media_common/quotation_addressee', '/government/government', '/military/military_unit_place_of_origin', '/fictional_universe/fictional_setting', '/symbols/flag_referent', '/symbols/name_source', '/book/book_subject', '/business/employer', '/organization/organization_member', '/business/asset_owner', '/film/film_subject', '/food/beer_country_region', '/organization/organization_scope', '/cvg/computer_game_region', '/military/military_combatant', '/law/court_jurisdiction_area']"", '?f': ""['/location/location', '/location/statistical_region', '/location/citytown', '/location/administrative_division', '/location/dated_location']"", '?a': ""['/business/consumer_product', '/wine/wine']""}"
