Rule,Head Coverage,Std Confidence,PCA Confidence,Positive Examples,Body size,PCA Body size,Functional variable,Instances,Rules_with_labels,Instances_with_labels,Variable_types
?f  1619  ?b  ?a  286  ?f   => ?a  1619  ?b,0.283356259,1.0,1.0,206,206,206,?b,998087 1619 19473417 3156491 286 3156491 => 3156491 1619 94660827,?f /travel/travel_destination/climate ?b ?a /location/hud_county_place/place ?f => ?a /travel/travel_destination/climate ?b,Sydney /travel/travel_destination/climate 19473417 Miami /location/hud_county_place/place Miami => Miami /travel/travel_destination/climate 94660827,"{'?f': ""['/rail/railway_terminus', '/tv/tv_location', '/government/governmental_jurisdiction', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/hud_foreclosure_area', '/film/film_location', '/travel/travel_destination', '/location/citytown', '/location/location', '/sports/sports_team_location', '/location/dated_location', '/location/statistical_region', '/organization/organization_scope', '/fictional_universe/fictional_setting']"", '?a': ""['/rail/railway_terminus', '/tv/tv_location', '/government/governmental_jurisdiction', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/hud_foreclosure_area', '/film/film_location', '/travel/travel_destination', '/location/citytown', '/location/location', '/sports/sports_team_location', '/location/dated_location', '/location/statistical_region', '/organization/organization_scope', '/fictional_universe/fictional_setting']""}"
?e  1619  ?b  ?e  286  ?a   => ?a  1619  ?b,0.283356259,1.0,1.0,206,206,206,?b,998087 1619 19473417 3156491 286 3156491 => 3156491 1619 94660827,?e /travel/travel_destination/climate ?b ?e /location/hud_county_place/place ?a => ?a /travel/travel_destination/climate ?b,Sydney /travel/travel_destination/climate 19473417 Miami /location/hud_county_place/place Miami => Miami /travel/travel_destination/climate 94660827,"{'?e': ""['/rail/railway_terminus', '/tv/tv_location', '/government/governmental_jurisdiction', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/hud_foreclosure_area', '/film/film_location', '/travel/travel_destination', '/location/citytown', '/location/location', '/sports/sports_team_location', '/location/dated_location', '/location/statistical_region', '/organization/organization_scope', '/fictional_universe/fictional_setting']"", '?a': ""['/rail/railway_terminus', '/tv/tv_location', '/government/governmental_jurisdiction', '/periodicals/newspaper_circulation_area', '/location/hud_county_place', '/location/place_with_neighborhoods', '/location/hud_foreclosure_area', '/film/film_location', '/travel/travel_destination', '/location/citytown', '/location/location', '/sports/sports_team_location', '/location/dated_location', '/location/statistical_region', '/organization/organization_scope', '/fictional_universe/fictional_setting']""}"
?e  252  ?a  ?e  253  ?b   => ?a  375  ?b,0.374358974,0.995454545,0.995454545,219,220,220,?a,35488770 252 64262720 68266870 253 70039085 => 83951846 375 27502321,?e /soccer/football_goal/match ?a ?e /soccer/football_goal/point_awarded_to ?b => ?a /soccer/football_match/teams ?b,35488770 /soccer/football_goal/match 2001 Football League First Division play-off Final 68266870 /soccer/football_goal/point_awarded_to 70039085 => 2010 FIFA World Cup Round of 16 - BRA ./. CHI /soccer/football_match/teams Chile national football team,"{'?a': ""['/time/event', '/soccer/football_match']"", '?b': ""['/soccer/football_team', '/sports/sports_team']""}"
?a  1148  ?e  ?e  286  ?b   => ?a  1148  ?b,0.382352941,1.0,1.0,429,429,429,?a,57101778 1148 83955519 36578545 286 36578545 => 99266290 1148 76237385,?a /broadcast/content/location ?e ?e /location/hud_county_place/place ?b => ?a /broadcast/content/location ?b,Fifi and Jules /broadcast/content/location Australia 36578545 /location/hud_county_place/place 36578545 => Q2 Classical /broadcast/content/location New York City,"{'?a': ""['/broadcast/broadcast', '/broadcast/radio_station', '/broadcast/content']"", '?e': ""['/location/location', '/fictional_universe/fictional_setting', '/organization/organization_scope', '/symbols/coat_of_arms_bearer', '/tv/tv_location', '/organization/contact_category', '/business/business_location', '/business/employer', '/military/military_combatant', '/book/book_subject', '/location/statistical_region', '/law/court_jurisdiction_area', '/location/dated_location', '/location/country', '/biology/breed_origin', '/location/administrative_division', '/royalty/kingdom', '/film/film_subject', '/periodicals/newspaper_circulation_area', '/travel/travel_destination', '/sports/sports_team_location', '/symbols/flag_referent', '/olympics/olympic_participating_country', '/organization/organization_member', '/film/film_location', '/sports/sport_country', '/government/governmental_jurisdiction', '/cvg/computer_game_region', '/music/music_video_subject', '/organization/organization_founder', '/food/beer_country_region']"", '?b': ""['/olympics/olympic_bidding_city', '/book/book_subject', '/tv/tv_location', '/law/court_jurisdiction_area', '/location/dated_location', '/periodicals/newspaper_circulation_area', '/film/film_screening_venue', '/location/statistical_region', '/government/governmental_jurisdiction', '/film/film_subject', '/visual_art/art_subject', '/award/award_winner', '/symbols/namesake', '/location/hud_county_place', '/rail/railway_terminus', '/travel/travel_destination', '/government/political_district', '/location/hud_foreclosure_area', '/sports/sports_team_location', '/media_common/quotation_subject', '/wine/wine_region', '/business/business_location', '/film/film_location', '/location/citytown', '/business/employer', '/fictional_universe/fictional_setting', '/location/place_with_neighborhoods', '/location/location', '/organization/organization_scope', '/religion/religious_leadership_jurisdiction', '/location/administrative_division', '/exhibitions/exhibition_subject']""}"
?f  1275  ?b  ?a  1279  ?f   => ?a  375  ?b,0.268376068,0.918128655,1.0,157,171,157,?a,9329069 1275 58899234 3765895 1279 51664060 => 83951846 375 27502321,?f /soccer/football_player_match_participation/team ?b ?a /soccer/football_match/players ?f => ?a /soccer/football_match/teams ?b,9329069 /soccer/football_player_match_participation/team South Korea national football team 3765895 /soccer/football_match/players 51664060 => 2010 FIFA World Cup Round of 16 - BRA ./. CHI /soccer/football_match/teams Chile national football team,"{'?b': ""['/soccer/football_team', '/sports/sports_team']"", '?a': ""['/time/event', '/soccer/football_match']""}"
?a  1301  ?f  ?f  1393  ?b   => ?a  1300  ?b,0.707792208,0.968888889,1.0,218,225,218,?a,98465398 1301 98465400 17820169 1393 40927 => 41529676 1300 40927,?a /american_football/football_team/conference ?f ?f /basketball/basketball_conference/divisions ?b => ?a /american_football/football_team/division ?b,Eastern Washington Eagles football /american_football/football_team/conference Big Sky Football Conference 17820169 /basketball/basketball_conference/divisions Division I (NCAA) => Tulane Green Wave football /american_football/football_team/division Division I (NCAA),"{'?a': ""['/business/employer', '/american_football/football_team', '/sports/sports_team', '/sports/school_sports_team']"", '?f': ""['/american_football/football_conference', '/organization/organization', '/business/employer', '/sports/sports_league']"", '?b': ""['/sports/sports_league', '/organization/organization', '/baseball/baseball_division', '/basketball/basketball_division', '/american_football/football_division', '/business/employer', '/american_football/football_conference']""}"
?f  1347  ?b  ?a  286  ?f   => ?a  1347  ?b,0.227436823,1.0,1.0,63,63,63,?b,25870721 1347 64420533 64577267 286 64577267 => 25870721 1347 64420533,?f /tv/tv_location/tv_shows_filmed_here ?b ?a /location/hud_county_place/place ?f => ?a /tv/tv_location/tv_shows_filmed_here ?b,Atlanta /tv/tv_location/tv_shows_filmed_here Don't Be Tardy 64577267 /location/hud_county_place/place 64577267 => Atlanta /tv/tv_location/tv_shows_filmed_here Don't Be Tardy,"{'?f': ""['/olympics/olympic_host_city', '/location/dated_location', '/organization/organization_scope', '/organization/contact_category', '/film/film_location', '/location/hud_foreclosure_area', '/location/capital_of_administrative_division', '/periodicals/newspaper_circulation_area', '/book/book_subject', '/location/citytown', '/business/business_location', '/sports/sports_team_location', '/fictional_universe/fictional_setting', '/location/hud_county_place', '/government/governmental_jurisdiction', '/travel/travel_destination', '/location/statistical_region', '/business/employer', '/location/location', '/location/place_with_neighborhoods', '/tv/tv_location']"", '?b': ""['/tv/tv_program']"", '?a': ""['/olympics/olympic_host_city', '/location/dated_location', '/organization/organization_scope', '/organization/contact_category', '/film/film_location', '/location/hud_foreclosure_area', '/location/capital_of_administrative_division', '/periodicals/newspaper_circulation_area', '/book/book_subject', '/location/citytown', '/business/business_location', '/sports/sports_team_location', '/fictional_universe/fictional_setting', '/location/hud_county_place', '/government/governmental_jurisdiction', '/travel/travel_destination', '/location/statistical_region', '/business/employer', '/location/location', '/location/place_with_neighborhoods', '/tv/tv_location']""}"
?a  176  ?f  ?f  665  ?b   => ?a  665  ?b,0.565057584,0.995252482,0.997404844,2306,2317,2312,?a,75878578 176 24430784 15101468 665 15101494 => 15101468 665 15101494,?a /education/educational_institution/campuses ?f ?f /education/educational_institution/mascot ?b => ?a /education/educational_institution/mascot ?b,Manchuria Mission College /education/educational_institution/campuses Manchuria Mission College\ main campus Misericordia University /education/educational_institution/mascot Cougars => Misericordia University /education/educational_institution/mascot Cougars,"{'?a': ""['/education/educational_institution', '/business/employer', '/business/business_operation', '/award/ranked_item', '/organization/endowed_organization', '/location/location', '/education/university', '/organization/non_profit_organization', '/education/educational_institution_campus', '/organization/organization']"", '?f': ""['/education/educational_institution', '/business/employer', '/business/business_operation', '/award/ranked_item', '/organization/endowed_organization', '/location/location', '/education/university', '/organization/non_profit_organization', '/education/educational_institution_campus', '/organization/organization']"", '?b': ""['/education/school_mascot']""}"
?e  1347  ?b  ?e  286  ?a   => ?a  1347  ?b,0.227436823,1.0,1.0,63,63,63,?b,25870721 1347 64420533 64577267 286 64577267 => 25870721 1347 64420533,?e /tv/tv_location/tv_shows_filmed_here ?b ?e /location/hud_county_place/place ?a => ?a /tv/tv_location/tv_shows_filmed_here ?b,Atlanta /tv/tv_location/tv_shows_filmed_here Don't Be Tardy 64577267 /location/hud_county_place/place 64577267 => Atlanta /tv/tv_location/tv_shows_filmed_here Don't Be Tardy,"{'?e': ""['/olympics/olympic_host_city', '/location/dated_location', '/organization/organization_scope', '/organization/contact_category', '/film/film_location', '/location/hud_foreclosure_area', '/location/capital_of_administrative_division', '/periodicals/newspaper_circulation_area', '/book/book_subject', '/location/citytown', '/business/business_location', '/sports/sports_team_location', '/fictional_universe/fictional_setting', '/location/hud_county_place', '/government/governmental_jurisdiction', '/travel/travel_destination', '/location/statistical_region', '/business/employer', '/location/location', '/location/place_with_neighborhoods', '/tv/tv_location']"", '?b': ""['/tv/tv_program']"", '?a': ""['/olympics/olympic_host_city', '/location/dated_location', '/organization/organization_scope', '/organization/contact_category', '/film/film_location', '/location/hud_foreclosure_area', '/location/capital_of_administrative_division', '/periodicals/newspaper_circulation_area', '/book/book_subject', '/location/citytown', '/business/business_location', '/sports/sports_team_location', '/fictional_universe/fictional_setting', '/location/hud_county_place', '/government/governmental_jurisdiction', '/travel/travel_destination', '/location/statistical_region', '/business/employer', '/location/location', '/location/place_with_neighborhoods', '/tv/tv_location']""}"
?f  286  ?b  ?a  348  ?f   => ?a  348  ?b,0.246876346,1.0,1.0,1146,1146,1146,?a,28727806 286 28727806 49104371 348 46862663 => 49104371 348 46862663,?f /location/hud_county_place/place ?b ?a /film/film_festival/location ?f => ?a /film/film_festival/location ?b,Douglassville /location/hud_county_place/place Douglassville International Broke Student Film Festival /film/film_festival/location Southfield => International Broke Student Film Festival /film/film_festival/location Southfield,"{'?f': ""['/location/statistical_region', '/location/citytown', '/location/dated_location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/location', '/periodicals/newspaper_circulation_area']"", '?b': ""['/location/statistical_region', '/location/citytown', '/location/dated_location', '/location/hud_county_place', '/location/hud_foreclosure_area', '/location/location', '/periodicals/newspaper_circulation_area']"", '?a': ""['/film/film_festival', '/time/recurring_event']""}"
?f  1026  ?a  ?b  1657  ?f   => ?a  1499  ?b,0.16254417,1.0,1.0,46,46,46,?b,73466496 1026 87130540 56446889 1657 57925816 => 6894898 1499 40028565,?f /book/magazine_issue/magazine ?a ?b /book/place_of_publication_period/place_of_publication ?f => ?a /book/magazine/place_of_publication ?b,GQ\ September 2007 /book/magazine_issue/magazine GQ 56446889 /book/place_of_publication_period/place_of_publication 57925816 => Time /book/magazine/place_of_publication 40028565,"{'?f': ""['/book/magazine_issue', '/book/publication']"", '?a': ""['/book/magazine', '/internet/social_network_user', '/media_common/quotation_source', '/award/ranked_list_compiler', '/book/periodical', '/award/award_nominated_work']""}"
?b  286  ?f  ?a  591  ?f   => ?a  591  ?b,0.168077388,0.945578231,1.0,139,147,139,?b,28727806 286 28727806 35403128 591 2526950 => 35403128 591 2526950,?b /location/hud_county_place/place ?f ?a /metropolitan_transit/transit_system/area_served ?f => ?a /metropolitan_transit/transit_system/area_served ?b,Douglassville /location/hud_county_place/place Douglassville Tide Light Rail /metropolitan_transit/transit_system/area_served Norfolk => Tide Light Rail /metropolitan_transit/transit_system/area_served Norfolk,"{'?b': ""['/government/governmental_jurisdiction', '/location/hud_county_place', '/travel/travel_destination', '/location/location', '/award/award_winner', '/sports/sports_team_location', '/location/us_county', '/location/capital_of_administrative_division', '/location/hud_foreclosure_area', '/periodicals/newspaper_circulation_area', '/location/citytown', '/location/administrative_division', '/location/statistical_region', '/location/dated_location', '/location/place_with_neighborhoods']"", '?f': ""['/government/governmental_jurisdiction', '/location/hud_county_place', '/travel/travel_destination', '/location/location', '/award/award_winner', '/sports/sports_team_location', '/location/us_county', '/location/capital_of_administrative_division', '/location/hud_foreclosure_area', '/periodicals/newspaper_circulation_area', '/location/citytown', '/location/administrative_division', '/location/statistical_region', '/location/dated_location', '/location/place_with_neighborhoods']"", '?a': ""['/metropolitan_transit/transit_system']""}"
?f  286  ?b  ?a  591  ?f   => ?a  591  ?b,0.168077388,1.0,1.0,139,139,139,?b,28727806 286 28727806 35403128 591 2526950 => 35403128 591 2526950,?f /location/hud_county_place/place ?b ?a /metropolitan_transit/transit_system/area_served ?f => ?a /metropolitan_transit/transit_system/area_served ?b,Douglassville /location/hud_county_place/place Douglassville Tide Light Rail /metropolitan_transit/transit_system/area_served Norfolk => Tide Light Rail /metropolitan_transit/transit_system/area_served Norfolk,"{'?f': ""['/government/governmental_jurisdiction', '/location/hud_county_place', '/travel/travel_destination', '/location/location', '/award/award_winner', '/sports/sports_team_location', '/location/us_county', '/location/capital_of_administrative_division', '/location/hud_foreclosure_area', '/periodicals/newspaper_circulation_area', '/location/citytown', '/location/administrative_division', '/location/statistical_region', '/location/dated_location', '/location/place_with_neighborhoods']"", '?b': ""['/government/governmental_jurisdiction', '/location/hud_county_place', '/travel/travel_destination', '/location/location', '/award/award_winner', '/sports/sports_team_location', '/location/us_county', '/location/capital_of_administrative_division', '/location/hud_foreclosure_area', '/periodicals/newspaper_circulation_area', '/location/citytown', '/location/administrative_division', '/location/statistical_region', '/location/dated_location', '/location/place_with_neighborhoods']"", '?a': ""['/metropolitan_transit/transit_system']""}"
?a  181  ?f  ?f  668  ?b   => ?a  668  ?b,0.163973799,0.970284238,1.0,751,774,751,?a,52834986 181 92830433 86247566 668 30832296 => 92751771 668 39972001,?a /award/award_category/category_of ?f ?f /award/award_category/disciplines_or_subjects ?b => ?a /award/award_category/disciplines_or_subjects ?b,Technology & Engineering Emmy Award for Still Picture Transmission Technology for News /award/award_category/category_of Technology & Engineering Emmy Award 86247566 /award/award_category/disciplines_or_subjects 30832296 => Bram Stoker Award for Best First Novel /award/award_category/disciplines_or_subjects Fiction,"{'?a': ""['/award/award_category']"", '?f': ""['/award/award']"", '?b': ""['/education/field_of_study', '/book/magazine_genre', '/award/award_discipline', '/media_common/quotation_subject', '/film/film_genre', '/media_common/literary_genre', '/comic_books/comic_book_genre', '/business/consumer_product', '/theater/theater_genre', '/media_common/media_genre', '/book/periodical_subject', '/tv/tv_genre']""}"
?a  421  ?e  ?e  617  ?b   => ?a  421  ?b,0.297226109,0.999930772,0.999930772,14444,14445,14445,?a,65602465 421 62341583 61794940 617 61794940 => 35566780 421 95539906,?a /food/nutrition_fact/nutrient ?e ?e /medicine/drug/active_moieties ?b => ?a /food/nutrition_fact/nutrient ?b,65602465 /food/nutrition_fact/nutrient Protein 61794940 /medicine/drug/active_moieties 61794940 => 35566780 /food/nutrition_fact/nutrient Folic acid,"{'?e': ""['/food/nutrient', '/chemistry/chemical_classification', '/book/book_subject', '/medicine/drug_class']"", '?b': ""['/medicine/medical_treatment', '/business/product_ingredient', '/medicine/drug_ingredient', '/food/nutrient', '/medicine/condition_prevention_factors', '/medicine/drug', '/chemistry/chemical_compound']""}"
?e  1442  ?a  ?e  1443  ?b   => ?a  616  ?b,0.999152391,1.0,1.0,22397,22397,22397,?b,45403326 1442 59074883 52341719 1443 40864419 => 94124019 616 75485548,?e /medicine/routed_drug/routed_drug_of ?a ?e /medicine/routed_drug/marketed_formulations ?b => ?a /medicine/drug/marketed_formulations ?b,Musca Domestica Extract Intradermal /medicine/routed_drug/routed_drug_of Musca domestica extract Benzalkonium/Benzocaine/Alcohol/Bacitracin/Neomycin/Polymyxin B/Acetaminophen/Ibuprofen Oral /medicine/routed_drug/marketed_formulations Benzalkonium chloride\ benzocaine\ sd alcohol\ bacitracin zinc\ neomycin sulfate\ polymyxin b\ ibuprofen\ acetaminophen 325/0.6/400/0.004/0.06/200/5/5000 kit => Sertraline /medicine/drug/marketed_formulations Sertraline hydrochloride 150 coated tablet,"{'?e': ""['/medicine/medical_treatment', '/medicine/condition_prevention_factors', '/medicine/routed_drug']"", '?a': ""['/medicine/medical_treatment', '/celebrities/abused_substance', '/chemistry/chemical_compound', '/medicine/drug', '/medicine/drug_ingredient']"", '?b': ""['/medicine/drug_formulation']""}"
?a  1141  ?f  ?f  414  ?b   => ?a  1141  ?b,0.30379902,0.999596774,0.999596774,2479,2480,2480,?a,47077280 1141 95084213 95084213 414 95084213 => 47077280 1141 95084213,?a /cvg/musical_game_song_relationship/platforms ?f ?f /business/consumer_product/brand ?b => ?a /cvg/musical_game_song_relationship/platforms ?b,47077280 /cvg/musical_game_song_relationship/platforms Xbox 360 Xbox 360 /business/consumer_product/brand Xbox 360 => 47077280 /cvg/musical_game_song_relationship/platforms Xbox 360,"{'?f': ""['/exhibitions/exhibition_sponsor', '/award/award_nominated_work', '/computer/computer', '/cvg/cvg_platform', '/business/brand', '/book/book_subject', '/business/consumer_product']"", '?b': ""['/exhibitions/exhibition_sponsor', '/award/award_nominated_work', '/computer/computer', '/cvg/cvg_platform', '/business/brand', '/book/book_subject', '/business/consumer_product']""}"
?a  174  ?f  ?f  286  ?b   => ?a  174  ?b,0.385403727,1.0,1.0,3723,3723,3723,?a,42025425 174 42025397 36578545 286 36578545 => 54924915 174 92747236,?a /location/neighborhood/neighborhood_of ?f ?f /location/hud_county_place/place ?b => ?a /location/neighborhood/neighborhood_of ?b,Madison South /location/neighborhood/neighborhood_of Portland-Vancouver-Beaverton\ OR-WA Metropolitan Statistical Area 36578545 /location/hud_county_place/place 36578545 => Prospect Hill /location/neighborhood/neighborhood_of Cincinnati,"{'?a': ""['/protected_sites/listed_site', '/location/neighborhood', '/location/location']"", '?f': ""['/government/governmental_jurisdiction', '/location/location', '/location/place_with_neighborhoods', '/location/us_cbsa']"", '?b': ""['/business/employer', '/government/governmental_jurisdiction', '/location/hud_foreclosure_area', '/travel/travel_destination', '/periodicals/newspaper_circulation_area', '/location/statistical_region', '/location/citytown', '/location/location', '/location/hud_county_place', '/location/place_with_neighborhoods', '/organization/organization_scope', '/sports/sports_team_location', '/location/dated_location', '/symbols/namesake', '/location/capital_of_administrative_division']""}"
?a  174  ?f  ?b  286  ?f   => ?a  174  ?b,0.385403727,1.0,1.0,3723,3723,3723,?a,42025425 174 42025397 36578545 286 36578545 => 54924915 174 92747236,?a /location/neighborhood/neighborhood_of ?f ?b /location/hud_county_place/place ?f => ?a /location/neighborhood/neighborhood_of ?b,Madison South /location/neighborhood/neighborhood_of Portland-Vancouver-Beaverton\ OR-WA Metropolitan Statistical Area 36578545 /location/hud_county_place/place 36578545 => Prospect Hill /location/neighborhood/neighborhood_of Cincinnati,"{'?a': ""['/protected_sites/listed_site', '/location/neighborhood', '/location/location']"", '?f': ""['/government/governmental_jurisdiction', '/location/location', '/location/place_with_neighborhoods', '/location/us_cbsa']"", '?b': ""['/business/employer', '/government/governmental_jurisdiction', '/location/hud_foreclosure_area', '/travel/travel_destination', '/periodicals/newspaper_circulation_area', '/location/statistical_region', '/location/citytown', '/location/location', '/location/hud_county_place', '/location/place_with_neighborhoods', '/organization/organization_scope', '/sports/sports_team_location', '/location/dated_location', '/symbols/namesake', '/location/capital_of_administrative_division']""}"
?f  286  ?b  ?a  818  ?f   => ?a  818  ?b,0.281413974,1.0,1.0,1019,1019,1019,?a,28727806 286 28727806 57015727 818 54315128 => 57015727 818 54315128,?f /location/hud_county_place/place ?b ?a /transportation/bridge/locale ?f => ?a /transportation/bridge/locale ?b,Douglassville /location/hud_county_place/place Douglassville Alfred H. Smith Memorial Bridge /transportation/bridge/locale Castleton-on-Hudson => Alfred H. Smith Memorial Bridge /transportation/bridge/locale Castleton-on-Hudson,"{'?f': ""['/location/statistical_region', '/location/hud_county_place', '/location/citytown', '/location/location', '/location/dated_location', '/location/hud_foreclosure_area']"", '?b': ""['/location/statistical_region', '/location/hud_county_place', '/location/citytown', '/location/location', '/location/dated_location', '/location/hud_foreclosure_area']"", '?a': ""['/projects/project_focus', '/transportation/bridge', '/architecture/structure', '/location/location']""}"
?b  2118  ?f  ?a  2259  ?f   => ?a  2441  ?b,0.8,1.0,1.0,92,92,92,?b,26905897 2118 6851987 56937202 2259 56937213 => 26905895 2441 26905897,?b /medicine/survival_rate/disease_stage ?f ?a /medicine/disease/stages ?f => ?a /medicine/disease/survival_rates ?b,26905897 /medicine/survival_rate/disease_stage Stage III Papillary thyroid cancer Small Cell Lung Carcinoma /medicine/disease/stages Stage I Small Cell Lung Cancer => Thyroid cancer /medicine/disease/survival_rates 26905897,"{'?f': ""['/medicine/disease_stage']"", '?a': ""['/medicine/disease', '/people/cause_of_death', '/medicine/disease_cause', '/medicine/icd_9_cm_classification']""}"
?a  181  ?e  ?e  667  ?b   => ?a  667  ?b,0.591205212,1.0,1.0,363,363,363,?b,52834986 181 92830433 34361193 667 34361194 => 34361193 667 34361194,?a /award/award_category/category_of ?e ?e /award/award_category/long_lists ?b => ?a /award/award_category/long_lists ?b,Technology & Engineering Emmy Award for Still Picture Transmission Technology for News /award/award_category/category_of Technology & Engineering Emmy Award Guardian Children's Fiction Prize /award/award_category/long_lists 34361194 => Guardian Children's Fiction Prize /award/award_category/long_lists 34361194,"{'?a': ""['/award/award', '/award/award_category']"", '?e': ""['/award/award', '/award/award_category']""}"
