id,rule,Instances
348,?b 26 ?a => ?a 33 ?b,<NA>
349,?b 34 ?a => ?a 33 ?b,<NA>
350,?b 15 ?a => ?a 33 ?b,<NA>
351,?a 29 ?b => ?a 33 ?b,<NA>
352,?b 32 ?a => ?a 33 ?b,<NA>
353,?a 28 ?b => ?a 33 ?b,<NA>
354,?b 36 ?a => ?a 33 ?b,<NA>
355,?b 25 ?a => ?a 33 ?b,<NA>
356,?b 20 ?a => ?a 33 ?b,19084 20 20047 => 20047 33 19084
357,?a 21 ?b => ?a 33 ?b,20572 21 20525 => 20572 33 20525
358,?a 25 ?b => ?a 33 ?b,<NA>
359,?a 26 ?b => ?a 33 ?b,<NA>
360,?a 36 ?b => ?a 33 ?b,<NA>
361,?b 28 ?a => ?a 33 ?b,<NA>
362,?a 15 ?b => ?a 33 ?b,<NA>
363,?b 30 ?a => ?a 33 ?b,<NA>
364,?b 37 ?a => ?a 33 ?b,<NA>
365,?a 20 ?b => ?a 33 ?b,19084 20 20047 => 19084 33 20047
366,?b 8 ?a => ?a 33 ?b,19143 8 18927 => 18927 33 19143
367,?b 18 ?a => ?a 33 ?b,<NA>
368,?a 32 ?b => ?a 33 ?b,<NA>
369,?a 34 ?b => ?a 33 ?b,<NA>
370,?b 5 ?a => ?a 33 ?b,<NA>
371,?b 17 ?a => ?a 33 ?b,<NA>
372,?b 4 ?a => ?a 33 ?b,<NA>
373,?a 10 ?b => ?a 33 ?b,<NA>
374,?a 30 ?b => ?a 33 ?b,<NA>
375,?a 3 ?b => ?a 33 ?b,<NA>
376,?a 12 ?b => ?a 33 ?b,19547 12 19362 => 19547 33 19362
377,?a 37 ?b => ?a 33 ?b,<NA>
378,?b 38 ?a => ?a 33 ?b,<NA>
379,?b 11 ?a => ?a 33 ?b,19610 11 20501 => 20501 33 19610
380,?a 4 ?b => ?a 33 ?b,<NA>
381,?b 2 ?a => ?a 33 ?b,<NA>
382,?b 22 ?a => ?a 33 ?b,<NA>
383,?b 31 ?a => ?a 33 ?b,<NA>
384,?b 14 ?a => ?a 33 ?b,<NA>
385,?b 23 ?a => ?a 33 ?b,<NA>
386,?a 17 ?b => ?a 33 ?b,<NA>
387,?b 3 ?a => ?a 33 ?b,<NA>
388,?a 39 ?b => ?a 33 ?b,<NA>
389,?b 10 ?a => ?a 33 ?b,<NA>
390,?a 5 ?b => ?a 33 ?b,<NA>
391,?b 19 ?a => ?a 33 ?b,<NA>
392,?b 39 ?a => ?a 33 ?b,<NA>
393,?a 14 ?b => ?a 33 ?b,<NA>
394,?a 11 ?b => ?a 33 ?b,19610 11 20501 => 19610 33 20501
395,?a 23 ?b => ?a 33 ?b,<NA>
396,?a 2 ?b => ?a 33 ?b,<NA>
397,?b 12 ?a => ?a 33 ?b,19547 12 19362 => 19362 33 19547
398,?b 13 ?a => ?a 33 ?b,19512 13 18927 => 18927 33 19512
399,?a 31 ?b => ?a 33 ?b,<NA>
400,?a 22 ?b => ?a 33 ?b,<NA>
401,?a 6 ?b => ?a 33 ?b,<NA>
402,?a 8 ?b => ?a 33 ?b,19143 8 18927 => 19143 33 18927
403,?a 13 ?b => ?a 33 ?b,19512 13 18927 => 19512 33 18927
404,?a 18 ?b => ?a 33 ?b,<NA>
405,?a 19 ?b => ?a 33 ?b,<NA>
406,?a 38 ?b => ?a 33 ?b,<NA>
407,?b 6 ?a => ?a 33 ?b,<NA>
408,?b 4 ?a => ?a 4 ?b,20562 4 20062 => 20062 4 20562
409,?b 36 ?a => ?a 4 ?b,19095 36 19050 => 19050 4 19095
410,?b 21 ?a => ?a 4 ?b,20572 21 20525 => 20525 4 20572
411,?b 25 ?a => ?a 4 ?b,<NA>
412,?b 27 ?a => ?a 4 ?b,20568 27 20562 => 20562 4 20568
413,?b 32 ?a => ?a 4 ?b,<NA>
414,?b 33 ?a => ?a 4 ?b,<NA>
415,?b 26 ?a => ?a 4 ?b,18946 26 20515 => 20515 4 18946
416,?b 28 ?a => ?a 4 ?b,19553 28 20510 => 20510 4 19553
417,?b 8 ?a => ?a 4 ?b,19143 8 18927 => 18927 4 19143
418,?b 10 ?a => ?a 4 ?b,<NA>
419,?b 6 ?a => ?a 4 ?b,<NA>
420,?b 39 ?a => ?a 4 ?b,<NA>
421,?b 18 ?a => ?a 4 ?b,<NA>
422,?b 12 ?a => ?a 4 ?b,20555 12 19354 => 19354 4 20555
423,?b 13 ?a => ?a 4 ?b,<NA>
424,?b 23 ?a => ?a 4 ?b,<NA>
425,?b 29 ?a => ?a 4 ?b,<NA>
426,?b 38 ?a => ?a 4 ?b,<NA>
427,?b 22 ?a => ?a 4 ?b,19419 22 20072 => 20072 4 19419
428,?b 19 ?a => ?a 4 ?b,19509 19 19093 => 19093 4 19509
429,?b 34 ?a => ?a 4 ?b,20507 34 20505 => 20505 4 20507
430,?b 15 ?a => ?a 4 ?b,20084 15 19325 => 19325 4 20084
431,?b 11 ?a => ?a 4 ?b,19610 11 20501 => 20501 4 19610
432,?b 14 ?a => ?a 4 ?b,<NA>
433,?b 37 ?a => ?a 4 ?b,19252 37 19383 => 19383 4 19252
434,?b 31 ?a => ?a 4 ?b,<NA>
435,?b 2 ?a => ?a 4 ?b,<NA>
436,?b 17 ?a => ?a 4 ?b,19197 17 20503 => 20503 4 19197
437,?b 5 ?a => ?a 4 ?b,<NA>
438,?b 30 ?a => ?a 4 ?b,<NA>
439,?b 20 ?a => ?a 4 ?b,19084 20 20047 => 20047 4 19084
440,?b 3 ?a => ?a 4 ?b,<NA>
441,?a 27 ?b => ?a 4 ?b,20568 27 20562 => 20568 4 20562
442,?a 21 ?b => ?a 4 ?b,20572 21 20525 => 20572 4 20525
443,?a 26 ?b => ?a 4 ?b,18946 26 20515 => 18946 4 20515
444,?a 29 ?b => ?a 4 ?b,<NA>
445,?a 36 ?b => ?a 4 ?b,19095 36 19050 => 19095 4 19050
446,?a 28 ?b => ?a 4 ?b,19553 28 20510 => 19553 4 20510
447,?a 34 ?b => ?a 4 ?b,20507 34 20505 => 20507 4 20505
448,?a 37 ?b => ?a 4 ?b,19252 37 19383 => 19252 4 19383
449,?a 20 ?b => ?a 4 ?b,19084 20 20047 => 19084 4 20047
450,?a 32 ?b => ?a 4 ?b,<NA>
451,?a 10 ?b => ?a 4 ?b,<NA>
452,?a 6 ?b => ?a 4 ?b,<NA>
453,?a 25 ?b => ?a 4 ?b,<NA>
454,?a 13 ?b => ?a 4 ?b,<NA>
455,?a 23 ?b => ?a 4 ?b,<NA>
456,?a 33 ?b => ?a 4 ?b,<NA>
457,?a 11 ?b => ?a 4 ?b,19610 11 20501 => 19610 4 20501
458,?a 38 ?b => ?a 4 ?b,<NA>
459,?a 19 ?b => ?a 4 ?b,19509 19 19093 => 19509 4 19093
460,?a 5 ?b => ?a 4 ?b,<NA>
461,?a 30 ?b => ?a 4 ?b,<NA>
462,?a 22 ?b => ?a 4 ?b,19419 22 20072 => 19419 4 20072
463,?a 31 ?b => ?a 4 ?b,<NA>
