id,rule
59,?b 24 ?a => ?a 37 ?b
60,?b 26 ?a => ?a 37 ?b
61,?b 25 ?a => ?a 37 ?b
62,?b 21 ?a => ?a 37 ?b
63,?b 27 ?a => ?a 37 ?b
64,?b 34 ?a => ?a 37 ?b
65,?b 36 ?a => ?a 37 ?b
66,?b 29 ?a => ?a 37 ?b
67,?b 32 ?a => ?a 37 ?b
68,?b 15 ?a => ?a 37 ?b
69,?a 26 ?b => ?a 37 ?b
70,?a 21 ?b => ?a 37 ?b
71,?a 24 ?b => ?a 37 ?b
72,?a 7 ?b => ?a 37 ?b
73,?b 28 ?a => ?a 37 ?b
74,?b 30 ?a => ?a 37 ?b
75,?a 27 ?b => ?a 37 ?b
76,?a 34 ?b => ?a 37 ?b
77,?b 20 ?a => ?a 37 ?b
78,?a 36 ?b => ?a 37 ?b
79,?a 28 ?b => ?a 37 ?b
80,?b 10 ?a => ?a 37 ?b
81,?a 25 ?b => ?a 37 ?b
82,?a 10 ?b => ?a 37 ?b
83,?a 29 ?b => ?a 37 ?b
84,?a 20 ?b => ?a 37 ?b
85,?a 32 ?b => ?a 37 ?b
86,?a 15 ?b => ?a 37 ?b
87,?a 30 ?b => ?a 37 ?b
88,?b 20 ?a => ?a 20 ?b
89,?b 21 ?a => ?a 20 ?b
90,?b 18 ?a => ?a 20 ?b
91,?b 3 ?a => ?a 20 ?b
92,?b 29 ?a => ?a 20 ?b
93,?b 27 ?a => ?a 20 ?b
94,?b 34 ?a => ?a 20 ?b
95,?b 37 ?a => ?a 20 ?b
96,?b 5 ?a => ?a 20 ?b
97,?b 39 ?a => ?a 20 ?b
98,?b 26 ?a => ?a 20 ?b
99,?b 15 ?a => ?a 20 ?b
100,?b 28 ?a => ?a 20 ?b
101,?b 2 ?a => ?a 20 ?b
102,?b 11 ?a => ?a 20 ?b
103,?b 22 ?a => ?a 20 ?b
104,?b 17 ?a => ?a 20 ?b
105,?b 10 ?a => ?a 20 ?b
106,?b 36 ?a => ?a 20 ?b
107,?b 33 ?a => ?a 20 ?b
108,?b 12 ?a => ?a 20 ?b
109,?b 32 ?a => ?a 20 ?b
110,?b 25 ?a => ?a 20 ?b
111,?b 8 ?a => ?a 20 ?b
112,?b 4 ?a => ?a 20 ?b
113,?b 30 ?a => ?a 20 ?b
114,?a 32 ?b => ?a 20 ?b
115,?a 27 ?b => ?a 20 ?b
116,?a 21 ?b => ?a 20 ?b
117,?a 26 ?b => ?a 20 ?b
118,?a 28 ?b => ?a 20 ?b
119,?a 22 ?b => ?a 20 ?b
120,?a 37 ?b => ?a 20 ?b
121,?a 10 ?b => ?a 20 ?b
122,?a 15 ?b => ?a 20 ?b
123,?a 3 ?b => ?a 20 ?b
124,?a 33 ?b => ?a 20 ?b
125,?a 30 ?b => ?a 20 ?b
126,?a 25 ?b => ?a 20 ?b
127,?a 29 ?b => ?a 20 ?b
128,?a 17 ?b => ?a 20 ?b
129,?a 4 ?b => ?a 20 ?b
130,?a 12 ?b => ?a 20 ?b
131,?a 39 ?b => ?a 20 ?b
132,?a 36 ?b => ?a 20 ?b
133,?a 5 ?b => ?a 20 ?b
134,?a 2 ?b => ?a 20 ?b
135,?a 34 ?b => ?a 20 ?b
136,?a 11 ?b => ?a 20 ?b
137,?a 8 ?b => ?a 20 ?b
138,?a 18 ?b => ?a 20 ?b
139,?b 49 ?a => ?a 49 ?b
140,?a 47 ?b => ?a 49 ?b
141,?b 47 ?a => ?a 49 ?b
142,?b 10 ?a => ?a 10 ?b
143,?a 48 ?b => ?a 49 ?b
144,?b 48 ?a => ?a 49 ?b
145,?b 21 ?a => ?a 10 ?b
146,?b 27 ?a => ?a 10 ?b
147,?b 32 ?a => ?a 10 ?b
148,?b 15 ?a => ?a 10 ?b
149,?b 26 ?a => ?a 10 ?b
150,?b 37 ?a => ?a 10 ?b
151,?b 13 ?a => ?a 10 ?b
152,?b 25 ?a => ?a 10 ?b
153,?b 31 ?a => ?a 10 ?b
154,?b 14 ?a => ?a 10 ?b
155,?b 22 ?a => ?a 10 ?b
156,?b 29 ?a => ?a 10 ?b
157,?b 28 ?a => ?a 10 ?b
158,?b 19 ?a => ?a 10 ?b
159,?b 11 ?a => ?a 10 ?b
160,?b 36 ?a => ?a 10 ?b
161,?b 39 ?a => ?a 10 ?b
162,?b 6 ?a => ?a 10 ?b
163,?b 23 ?a => ?a 10 ?b
164,?b 34 ?a => ?a 10 ?b
165,?a 26 ?b => ?a 10 ?b
166,?a 27 ?b => ?a 10 ?b
167,?b 30 ?a => ?a 10 ?b
168,?b 2 ?a => ?a 10 ?b
169,?a 21 ?b => ?a 10 ?b
170,?b 38 ?a => ?a 10 ?b
171,?b 20 ?a => ?a 10 ?b
172,?b 8 ?a => ?a 10 ?b
173,?b 12 ?a => ?a 10 ?b
174,?b 5 ?a => ?a 10 ?b
175,?b 3 ?a => ?a 10 ?b
176,?a 25 ?b => ?a 10 ?b
177,?b 33 ?a => ?a 10 ?b
178,?b 17 ?a => ?a 10 ?b
179,?b 4 ?a => ?a 10 ?b
180,?a 15 ?b => ?a 10 ?b
181,?b 18 ?a => ?a 10 ?b
182,?a 37 ?b => ?a 10 ?b
183,?a 28 ?b => ?a 10 ?b
184,?a 6 ?b => ?a 10 ?b
185,?a 20 ?b => ?a 10 ?b
186,?a 29 ?b => ?a 10 ?b
187,?a 32 ?b => ?a 10 ?b
188,?a 13 ?b => ?a 10 ?b
189,?a 3 ?b => ?a 10 ?b
190,?a 36 ?b => ?a 10 ?b
191,?a 17 ?b => ?a 10 ?b
192,?a 30 ?b => ?a 10 ?b
193,?a 39 ?b => ?a 10 ?b
194,?a 4 ?b => ?a 10 ?b
195,?a 31 ?b => ?a 10 ?b
196,?a 22 ?b => ?a 10 ?b
197,?a 2 ?b => ?a 10 ?b
198,?a 34 ?b => ?a 10 ?b
199,?a 11 ?b => ?a 10 ?b
200,?a 23 ?b => ?a 10 ?b
201,?a 14 ?b => ?a 10 ?b
202,?a 8 ?b => ?a 10 ?b
203,?a 19 ?b => ?a 10 ?b
204,?a 33 ?b => ?a 10 ?b
205,?a 12 ?b => ?a 10 ?b
206,?a 38 ?b => ?a 10 ?b
207,?a 5 ?b => ?a 10 ?b
208,?a 18 ?b => ?a 10 ?b
209,?b 30 ?a => ?a 30 ?b
210,?b 26 ?a => ?a 30 ?b
211,?b 34 ?a => ?a 30 ?b
212,?b 36 ?a => ?a 30 ?b
213,?b 29 ?a => ?a 30 ?b
214,?b 15 ?a => ?a 30 ?b
215,?b 21 ?a => ?a 30 ?b
216,?b 37 ?a => ?a 30 ?b
217,?b 20 ?a => ?a 30 ?b
218,?b 32 ?a => ?a 30 ?b
219,?b 24 ?a => ?a 30 ?b
220,?b 13 ?a => ?a 30 ?b
221,?b 10 ?a => ?a 30 ?b
222,?b 27 ?a => ?a 30 ?b
223,?b 6 ?a => ?a 30 ?b
224,?b 33 ?a => ?a 30 ?b
225,?b 19 ?a => ?a 30 ?b
226,?b 28 ?a => ?a 30 ?b
227,?b 22 ?a => ?a 30 ?b
228,?b 3 ?a => ?a 30 ?b
229,?b 14 ?a => ?a 30 ?b
230,?b 12 ?a => ?a 30 ?b
231,?b 23 ?a => ?a 30 ?b
232,?b 2 ?a => ?a 30 ?b
233,?b 39 ?a => ?a 30 ?b
234,?b 31 ?a => ?a 30 ?b
235,?b 11 ?a => ?a 30 ?b
236,?b 25 ?a => ?a 30 ?b
237,?b 18 ?a => ?a 30 ?b
238,?b 38 ?a => ?a 30 ?b
239,?b 17 ?a => ?a 30 ?b
240,?b 8 ?a => ?a 30 ?b
241,?b 4 ?a => ?a 30 ?b
242,?b 5 ?a => ?a 30 ?b
243,?a 26 ?b => ?a 30 ?b
244,?a 24 ?b => ?a 30 ?b
245,?a 21 ?b => ?a 30 ?b
246,?a 36 ?b => ?a 30 ?b
247,?a 29 ?b => ?a 30 ?b
248,?a 27 ?b => ?a 30 ?b
249,?a 34 ?b => ?a 30 ?b
250,?a 25 ?b => ?a 30 ?b
251,?a 12 ?b => ?a 30 ?b
252,?a 39 ?b => ?a 30 ?b
253,?a 6 ?b => ?a 30 ?b
254,?a 32 ?b => ?a 30 ?b
255,?a 33 ?b => ?a 30 ?b
256,?a 4 ?b => ?a 30 ?b
257,?a 28 ?b => ?a 30 ?b
258,?a 19 ?b => ?a 30 ?b
259,?a 5 ?b => ?a 30 ?b
260,?a 3 ?b => ?a 30 ?b
261,?a 14 ?b => ?a 30 ?b
262,?a 13 ?b => ?a 30 ?b
263,?a 38 ?b => ?a 30 ?b
264,?a 11 ?b => ?a 30 ?b
265,?a 2 ?b => ?a 30 ?b
266,?a 31 ?b => ?a 30 ?b
267,?a 15 ?b => ?a 30 ?b
268,?a 37 ?b => ?a 30 ?b
269,?a 22 ?b => ?a 30 ?b
270,?a 20 ?b => ?a 30 ?b
271,?a 18 ?b => ?a 30 ?b
272,?a 8 ?b => ?a 30 ?b
273,?a 17 ?b => ?a 30 ?b
274,?a 10 ?b => ?a 30 ?b
275,?a 23 ?b => ?a 30 ?b
276,?b 48 ?a => ?a 48 ?b
277,?b 49 ?a => ?a 48 ?b
278,?a 49 ?b => ?a 48 ?b
279,?b 3 ?a => ?a 3 ?b
280,?b 26 ?a => ?a 3 ?b
281,?b 29 ?a => ?a 3 ?b
282,?b 20 ?a => ?a 3 ?b
283,?b 13 ?a => ?a 3 ?b
284,?b 32 ?a => ?a 3 ?b
285,?b 31 ?a => ?a 3 ?b
286,?b 30 ?a => ?a 3 ?b
287,?b 22 ?a => ?a 3 ?b
288,?b 6 ?a => ?a 3 ?b
289,?b 10 ?a => ?a 3 ?b
290,?b 36 ?a => ?a 3 ?b
291,?b 23 ?a => ?a 3 ?b
292,?b 19 ?a => ?a 3 ?b
293,?b 27 ?a => ?a 3 ?b
294,?b 21 ?a => ?a 3 ?b
295,?b 2 ?a => ?a 3 ?b
296,?b 14 ?a => ?a 3 ?b
297,?b 38 ?a => ?a 3 ?b
298,?b 11 ?a => ?a 3 ?b
299,?b 4 ?a => ?a 3 ?b
300,?b 33 ?a => ?a 3 ?b
301,?b 28 ?a => ?a 3 ?b
302,?b 5 ?a => ?a 3 ?b
303,?b 12 ?a => ?a 3 ?b
304,?b 25 ?a => ?a 3 ?b
305,?b 39 ?a => ?a 3 ?b
306,?b 18 ?a => ?a 3 ?b
307,?b 8 ?a => ?a 3 ?b
308,?b 37 ?a => ?a 3 ?b
309,?b 34 ?a => ?a 3 ?b
310,?b 15 ?a => ?a 3 ?b
311,?a 26 ?b => ?a 3 ?b
312,?b 17 ?a => ?a 3 ?b
313,?a 32 ?b => ?a 3 ?b
314,?a 27 ?b => ?a 3 ?b
315,?a 21 ?b => ?a 3 ?b
316,?a 36 ?b => ?a 3 ?b
317,?a 34 ?b => ?a 3 ?b
318,?a 37 ?b => ?a 3 ?b
319,?a 29 ?b => ?a 3 ?b
320,?a 20 ?b => ?a 3 ?b
321,?a 25 ?b => ?a 3 ?b
322,?a 10 ?b => ?a 3 ?b
323,?a 33 ?b => ?a 3 ?b
324,?a 30 ?b => ?a 3 ?b
325,?a 8 ?b => ?a 3 ?b
326,?a 4 ?b => ?a 3 ?b
327,?a 28 ?b => ?a 3 ?b
328,?a 18 ?b => ?a 3 ?b
329,?a 6 ?b => ?a 3 ?b
330,?a 17 ?b => ?a 3 ?b
331,?a 12 ?b => ?a 3 ?b
332,?a 5 ?b => ?a 3 ?b
333,?a 39 ?b => ?a 3 ?b
334,?a 22 ?b => ?a 3 ?b
335,?a 15 ?b => ?a 3 ?b
336,?a 19 ?b => ?a 3 ?b
337,?a 31 ?b => ?a 3 ?b
338,?a 38 ?b => ?a 3 ?b
339,?a 2 ?b => ?a 3 ?b
340,?a 11 ?b => ?a 3 ?b
341,?a 13 ?b => ?a 3 ?b
342,?a 23 ?b => ?a 3 ?b
343,?a 14 ?b => ?a 3 ?b
344,?b 35 ?a => ?a 35 ?b
345,?b 33 ?a => ?a 33 ?b
346,?b 21 ?a => ?a 33 ?b
347,?b 29 ?a => ?a 33 ?b
348,?b 26 ?a => ?a 33 ?b
349,?b 34 ?a => ?a 33 ?b
350,?b 15 ?a => ?a 33 ?b
351,?a 29 ?b => ?a 33 ?b
352,?b 32 ?a => ?a 33 ?b
353,?a 28 ?b => ?a 33 ?b
354,?b 36 ?a => ?a 33 ?b
355,?b 25 ?a => ?a 33 ?b
356,?b 20 ?a => ?a 33 ?b
357,?a 21 ?b => ?a 33 ?b
358,?a 25 ?b => ?a 33 ?b
359,?a 26 ?b => ?a 33 ?b
360,?a 36 ?b => ?a 33 ?b
361,?b 28 ?a => ?a 33 ?b
362,?a 15 ?b => ?a 33 ?b
363,?b 30 ?a => ?a 33 ?b
364,?b 37 ?a => ?a 33 ?b
365,?a 20 ?b => ?a 33 ?b
366,?b 8 ?a => ?a 33 ?b
367,?b 18 ?a => ?a 33 ?b
368,?a 32 ?b => ?a 33 ?b
369,?a 34 ?b => ?a 33 ?b
370,?b 5 ?a => ?a 33 ?b
371,?b 17 ?a => ?a 33 ?b
372,?b 4 ?a => ?a 33 ?b
373,?a 10 ?b => ?a 33 ?b
374,?a 30 ?b => ?a 33 ?b
375,?a 3 ?b => ?a 33 ?b
376,?a 12 ?b => ?a 33 ?b
377,?a 37 ?b => ?a 33 ?b
378,?b 38 ?a => ?a 33 ?b
379,?b 11 ?a => ?a 33 ?b
380,?a 4 ?b => ?a 33 ?b
381,?b 2 ?a => ?a 33 ?b
382,?b 22 ?a => ?a 33 ?b
383,?b 31 ?a => ?a 33 ?b
384,?b 14 ?a => ?a 33 ?b
385,?b 23 ?a => ?a 33 ?b
386,?a 17 ?b => ?a 33 ?b
387,?b 3 ?a => ?a 33 ?b
388,?a 39 ?b => ?a 33 ?b
389,?b 10 ?a => ?a 33 ?b
390,?a 5 ?b => ?a 33 ?b
391,?b 19 ?a => ?a 33 ?b
392,?b 39 ?a => ?a 33 ?b
393,?a 14 ?b => ?a 33 ?b
394,?a 11 ?b => ?a 33 ?b
395,?a 23 ?b => ?a 33 ?b
396,?a 2 ?b => ?a 33 ?b
397,?b 12 ?a => ?a 33 ?b
398,?b 13 ?a => ?a 33 ?b
399,?a 31 ?b => ?a 33 ?b
400,?a 22 ?b => ?a 33 ?b
401,?a 6 ?b => ?a 33 ?b
402,?a 8 ?b => ?a 33 ?b
403,?a 13 ?b => ?a 33 ?b
404,?a 18 ?b => ?a 33 ?b
405,?a 19 ?b => ?a 33 ?b
406,?a 38 ?b => ?a 33 ?b
407,?b 6 ?a => ?a 33 ?b
408,?b 4 ?a => ?a 4 ?b
409,?b 36 ?a => ?a 4 ?b
410,?b 21 ?a => ?a 4 ?b
411,?b 25 ?a => ?a 4 ?b
412,?b 27 ?a => ?a 4 ?b
413,?b 32 ?a => ?a 4 ?b
414,?b 33 ?a => ?a 4 ?b
415,?b 26 ?a => ?a 4 ?b
416,?b 28 ?a => ?a 4 ?b
417,?b 8 ?a => ?a 4 ?b
418,?b 10 ?a => ?a 4 ?b
419,?b 6 ?a => ?a 4 ?b
420,?b 39 ?a => ?a 4 ?b
421,?b 18 ?a => ?a 4 ?b
422,?b 12 ?a => ?a 4 ?b
423,?b 13 ?a => ?a 4 ?b
424,?b 23 ?a => ?a 4 ?b
425,?b 29 ?a => ?a 4 ?b
426,?b 38 ?a => ?a 4 ?b
427,?b 22 ?a => ?a 4 ?b
428,?b 19 ?a => ?a 4 ?b
429,?b 34 ?a => ?a 4 ?b
430,?b 15 ?a => ?a 4 ?b
431,?b 11 ?a => ?a 4 ?b
432,?b 14 ?a => ?a 4 ?b
433,?b 37 ?a => ?a 4 ?b
434,?b 31 ?a => ?a 4 ?b
435,?b 2 ?a => ?a 4 ?b
436,?b 17 ?a => ?a 4 ?b
437,?b 5 ?a => ?a 4 ?b
438,?b 30 ?a => ?a 4 ?b
439,?b 20 ?a => ?a 4 ?b
440,?b 3 ?a => ?a 4 ?b
441,?a 27 ?b => ?a 4 ?b
442,?a 21 ?b => ?a 4 ?b
443,?a 26 ?b => ?a 4 ?b
444,?a 29 ?b => ?a 4 ?b
445,?a 36 ?b => ?a 4 ?b
446,?a 28 ?b => ?a 4 ?b
447,?a 34 ?b => ?a 4 ?b
448,?a 37 ?b => ?a 4 ?b
449,?a 20 ?b => ?a 4 ?b
450,?a 32 ?b => ?a 4 ?b
451,?a 10 ?b => ?a 4 ?b
452,?a 6 ?b => ?a 4 ?b
453,?a 25 ?b => ?a 4 ?b
454,?a 13 ?b => ?a 4 ?b
455,?a 23 ?b => ?a 4 ?b
456,?a 33 ?b => ?a 4 ?b
457,?a 11 ?b => ?a 4 ?b
458,?a 38 ?b => ?a 4 ?b
459,?a 19 ?b => ?a 4 ?b
460,?a 5 ?b => ?a 4 ?b
461,?a 30 ?b => ?a 4 ?b
462,?a 22 ?b => ?a 4 ?b
463,?a 31 ?b => ?a 4 ?b
464,?a 15 ?b => ?a 4 ?b
465,?a 14 ?b => ?a 4 ?b
466,?a 18 ?b => ?a 4 ?b
467,?a 12 ?b => ?a 4 ?b
468,?a 2 ?b => ?a 4 ?b
469,?a 3 ?b => ?a 4 ?b
470,?a 39 ?b => ?a 4 ?b
471,?a 17 ?b => ?a 4 ?b
472,?a 8 ?b => ?a 4 ?b
473,?b 17 ?a => ?a 17 ?b
474,?b 30 ?a => ?a 17 ?b
475,?b 26 ?a => ?a 17 ?b
476,?b 34 ?a => ?a 17 ?b
477,?b 29 ?a => ?a 17 ?b
478,?b 15 ?a => ?a 17 ?b
479,?b 37 ?a => ?a 17 ?b
480,?b 3 ?a => ?a 17 ?b
481,?b 18 ?a => ?a 17 ?b
482,?b 10 ?a => ?a 17 ?b
483,?b 20 ?a => ?a 17 ?b
484,?b 39 ?a => ?a 17 ?b
485,?b 6 ?a => ?a 17 ?b
486,?b 13 ?a => ?a 17 ?b
487,?b 19 ?a => ?a 17 ?b
488,?b 22 ?a => ?a 17 ?b
489,?b 36 ?a => ?a 17 ?b
490,?b 14 ?a => ?a 17 ?b
491,?b 32 ?a => ?a 17 ?b
492,?b 2 ?a => ?a 17 ?b
493,?b 38 ?a => ?a 17 ?b
494,?b 23 ?a => ?a 17 ?b
495,?b 28 ?a => ?a 17 ?b
496,?b 25 ?a => ?a 17 ?b
497,?b 12 ?a => ?a 17 ?b
498,?b 11 ?a => ?a 17 ?b
499,?b 4 ?a => ?a 17 ?b
500,?b 31 ?a => ?a 17 ?b
501,?b 5 ?a => ?a 17 ?b
502,?a 26 ?b => ?a 17 ?b
503,?b 33 ?a => ?a 17 ?b
504,?b 8 ?a => ?a 17 ?b
505,?a 32 ?b => ?a 17 ?b
506,?a 36 ?b => ?a 17 ?b
507,?a 34 ?b => ?a 17 ?b
508,?a 37 ?b => ?a 17 ?b
509,?a 15 ?b => ?a 17 ?b
510,?a 20 ?b => ?a 17 ?b
511,?a 23 ?b => ?a 17 ?b
512,?a 29 ?b => ?a 17 ?b
513,?a 13 ?b => ?a 17 ?b
514,?a 31 ?b => ?a 17 ?b
515,?a 30 ?b => ?a 17 ?b
516,?a 25 ?b => ?a 17 ?b
517,?a 3 ?b => ?a 17 ?b
518,?a 39 ?b => ?a 17 ?b
519,?a 6 ?b => ?a 17 ?b
520,?a 10 ?b => ?a 17 ?b
521,?a 8 ?b => ?a 17 ?b
522,?a 22 ?b => ?a 17 ?b
523,?a 2 ?b => ?a 17 ?b
524,?a 11 ?b => ?a 17 ?b
525,?a 12 ?b => ?a 17 ?b
526,?a 4 ?b => ?a 17 ?b
527,?a 28 ?b => ?a 17 ?b
528,?a 14 ?b => ?a 17 ?b
529,?a 33 ?b => ?a 17 ?b
530,?a 19 ?b => ?a 17 ?b
531,?a 18 ?b => ?a 17 ?b
532,?a 38 ?b => ?a 17 ?b
533,?a 5 ?b => ?a 17 ?b
534,?b 8 ?a => ?a 8 ?b
535,?b 36 ?a => ?a 8 ?b
536,?b 17 ?a => ?a 8 ?b
537,?b 26 ?a => ?a 8 ?b
538,?b 20 ?a => ?a 8 ?b
539,?b 3 ?a => ?a 8 ?b
540,?b 18 ?a => ?a 8 ?b
541,?b 13 ?a => ?a 8 ?b
542,?b 5 ?a => ?a 8 ?b
543,?b 25 ?a => ?a 8 ?b
544,?b 37 ?a => ?a 8 ?b
545,?b 34 ?a => ?a 8 ?b
546,?b 29 ?a => ?a 8 ?b
547,?b 39 ?a => ?a 8 ?b
548,?b 32 ?a => ?a 8 ?b
549,?b 38 ?a => ?a 8 ?b
550,?b 6 ?a => ?a 8 ?b
551,?b 23 ?a => ?a 8 ?b
552,?b 22 ?a => ?a 8 ?b
553,?b 14 ?a => ?a 8 ?b
554,?b 27 ?a => ?a 8 ?b
555,?b 11 ?a => ?a 8 ?b
556,?b 19 ?a => ?a 8 ?b
557,?b 4 ?a => ?a 8 ?b
558,?b 12 ?a => ?a 8 ?b
559,?b 28 ?a => ?a 8 ?b
560,?b 31 ?a => ?a 8 ?b
561,?b 2 ?a => ?a 8 ?b
562,?b 33 ?a => ?a 8 ?b
563,?b 30 ?a => ?a 8 ?b
564,?b 10 ?a => ?a 8 ?b
565,?b 15 ?a => ?a 8 ?b
566,?a 27 ?b => ?a 8 ?b
567,?a 25 ?b => ?a 8 ?b
568,?a 29 ?b => ?a 8 ?b
569,?a 28 ?b => ?a 8 ?b
570,?a 26 ?b => ?a 8 ?b
571,?a 34 ?b => ?a 8 ?b
572,?a 20 ?b => ?a 8 ?b
573,?a 32 ?b => ?a 8 ?b
574,?a 3 ?b => ?a 8 ?b
575,?a 12 ?b => ?a 8 ?b
576,?a 10 ?b => ?a 8 ?b
577,?a 39 ?b => ?a 8 ?b
578,?a 33 ?b => ?a 8 ?b
579,?a 17 ?b => ?a 8 ?b
580,?a 36 ?b => ?a 8 ?b
581,?a 15 ?b => ?a 8 ?b
582,?a 19 ?b => ?a 8 ?b
583,?a 4 ?b => ?a 8 ?b
584,?a 22 ?b => ?a 8 ?b
585,?a 11 ?b => ?a 8 ?b
586,?a 14 ?b => ?a 8 ?b
587,?a 38 ?b => ?a 8 ?b
588,?a 31 ?b => ?a 8 ?b
589,?a 6 ?b => ?a 8 ?b
590,?a 2 ?b => ?a 8 ?b
591,?a 37 ?b => ?a 8 ?b
592,?a 13 ?b => ?a 8 ?b
593,?a 30 ?b => ?a 8 ?b
594,?a 23 ?b => ?a 8 ?b
595,?a 5 ?b => ?a 8 ?b
596,?a 18 ?b => ?a 8 ?b
597,?b 12 ?a => ?a 12 ?b
598,?b 26 ?a => ?a 12 ?b
599,?b 37 ?a => ?a 12 ?b
600,?b 6 ?a => ?a 12 ?b
601,?b 29 ?a => ?a 12 ?b
602,?b 30 ?a => ?a 12 ?b
603,?b 25 ?a => ?a 12 ?b
604,?b 3 ?a => ?a 12 ?b
605,?b 31 ?a => ?a 12 ?b
606,?b 32 ?a => ?a 12 ?b
607,?b 4 ?a => ?a 12 ?b
608,?b 14 ?a => ?a 12 ?b
609,?b 8 ?a => ?a 12 ?b
610,?b 23 ?a => ?a 12 ?b
611,?b 10 ?a => ?a 12 ?b
612,?b 34 ?a => ?a 12 ?b
613,?b 22 ?a => ?a 12 ?b
614,?b 13 ?a => ?a 12 ?b
615,?b 2 ?a => ?a 12 ?b
616,?b 5 ?a => ?a 12 ?b
617,?b 36 ?a => ?a 12 ?b
618,?b 38 ?a => ?a 12 ?b
619,?b 11 ?a => ?a 12 ?b
620,?b 39 ?a => ?a 12 ?b
621,?b 18 ?a => ?a 12 ?b
622,?b 20 ?a => ?a 12 ?b
623,?b 19 ?a => ?a 12 ?b
624,?b 17 ?a => ?a 12 ?b
625,?b 33 ?a => ?a 12 ?b
626,?b 15 ?a => ?a 12 ?b
627,?a 28 ?b => ?a 12 ?b
628,?a 36 ?b => ?a 12 ?b
629,?a 29 ?b => ?a 12 ?b
630,?a 26 ?b => ?a 12 ?b
631,?a 34 ?b => ?a 12 ?b
632,?a 25 ?b => ?a 12 ?b
633,?a 37 ?b => ?a 12 ?b
634,?a 32 ?b => ?a 12 ?b
635,?a 20 ?b => ?a 12 ?b
636,?b 28 ?a => ?a 12 ?b
637,?a 33 ?b => ?a 12 ?b
638,?a 18 ?b => ?a 12 ?b
639,?a 30 ?b => ?a 12 ?b
640,?a 3 ?b => ?a 12 ?b
641,?a 5 ?b => ?a 12 ?b
642,?a 17 ?b => ?a 12 ?b
643,?a 6 ?b => ?a 12 ?b
644,?a 11 ?b => ?a 12 ?b
645,?a 8 ?b => ?a 12 ?b
646,?a 2 ?b => ?a 12 ?b
647,?a 13 ?b => ?a 12 ?b
648,?a 22 ?b => ?a 12 ?b
649,?a 15 ?b => ?a 12 ?b
650,?a 38 ?b => ?a 12 ?b
651,?a 4 ?b => ?a 12 ?b
652,?a 31 ?b => ?a 12 ?b
653,?a 19 ?b => ?a 12 ?b
654,?a 14 ?b => ?a 12 ?b
655,?a 23 ?b => ?a 12 ?b
656,?a 10 ?b => ?a 12 ?b
657,?a 39 ?b => ?a 12 ?b
658,?b 39 ?a => ?a 39 ?b
659,?b 36 ?a => ?a 39 ?b
660,?b 28 ?a => ?a 39 ?b
661,?b 33 ?a => ?a 39 ?b
662,?b 29 ?a => ?a 39 ?b
663,?b 34 ?a => ?a 39 ?b
664,?b 17 ?a => ?a 39 ?b
665,?b 8 ?a => ?a 39 ?b
